Time,M1:EncoderPosition,M2:EncoderPosition,M3:EncoderPosition,M4:EncoderPosition,M1:EncoderVelocity,M2:EncoderVelocity,M3:EncoderVelocity,M4:EncoderVelocity
0.08,12013.25,91302.25,62616,-418636.5,-8,8,2,4
0.081,12007,91308.25,62617,-418634,-6,6,0,0
0.082,11997.25,91315.5,62619.5,-418636.8,-12,8,4,-4
0.083,11982.75,91324.5,62624.25,-418639.2,-14,10,4,2
0.084,11971.5,91333,62628.5,-418636,-10,8,4,2
0.085,11965.25,91339.25,62633,-418635.8,-4,6,4,-2
0.086,11964,91343.5,62636,-418638.5,0,4,4,-4
0.087,11964,91346.75,62639.5,-418640.2,0,4,4,0
0.088,11962.75,91349.75,62642.75,-418640.2,0,4,2,0
0.089,11962.25,91353.25,62643.5,-418639.8,0,4,0,0
0.09,11962.75,91355.5,62644.5,-418640.5,2,2,0,-2
0.091,11963.5,91356.75,62645.25,-418641.8,0,0,0,0
0.092,11964,91358.5,62644.5,-418638.5,0,2,-2,2
0.093,11964.5,91359.75,62642.5,-418639,0,2,-2,-4
0.094,11967.25,91361.25,62641.25,-418643.5,2,2,0,-4
0.095,11971.25,91362.25,62640.75,-418642.2,2,0,-2,6
0.096,11973.5,91363,62637.5,-418638.2,2,2,-4,0
0.097,11976.25,91365,62634,-418641.2,2,2,-2,-4
0.098,11980.25,91367,62633.75,-418643.8,4,2,0,2
0.099,11985.25,91368.75,62633.75,-418638.8,6,0,0,6
0.1,11990.5,91370.25,62632.25,-418637.5,6,2,-2,-2
0.101,11996.5,91371,62629.75,-418642.5,8,0,-2,-6
0.102,12004.25,91371.75,62627.25,-418643,8,2,-2,4
0.103,12010.5,91373.75,62625.5,-418637,6,2,0,4
0.104,12015.25,91376.25,62626.75,-418637.5,6,2,2,-4
0.105,12019.75,91377,62627.5,-418642,6,0,0,-2
0.106,12024.25,91377,62625.75,-418640.2,4,0,-4,4
0.107,12028.75,91377,62623.5,-418636,4,0,-2,0
0.108,12031.75,91377.25,62623.25,-418638.8,4,0,0,-6
0.109,12033.75,91376.75,62622.75,-418641.8,2,-2,-2,0
0.11,12035.25,91377,62620.75,-418637.5,0,2,0,4
0.111,12036,91377,62620.75,-418636.2,0,0,0,-2
0.112,12036.5,91376.5,62621,-418640.8,0,0,0,-4
0.113,12036.25,91376.5,62621,-418640.8,0,0,0,4
0.114,12036.5,91376.5,62621.5,-418635.5,2,2,0,4
0.115,12038.25,91376.25,62622.25,-418637,0,-2,0,-4
0.116,12038.5,91376,62621.25,-418640.8,0,0,0,-2
0.117,12038,91376,62620.5,-418637.2,-2,0,0,6
0.118,12038,91376.25,62621,-418635,0,0,2,-2
0.119,12037.75,91376.25,62621,-418639.2,0,0,0,-6
0.12,12037,91376.25,62620.75,-418640.2,-2,0,0,4
