Time,M1:EncoderPosition,M2:EncoderPosition,M3:EncoderPosition,M4:EncoderPosition,M1:EncoderVelocity,M2:EncoderVelocity,M3:EncoderVelocity,M4:EncoderVelocity
2.622,-21241.5,371694,428049.2,-844050.8,-4,-142,148,0
2.623,-21239.25,371552.8,428198.2,-844050.2,8,-140,148,0
2.624,-21238.25,371403,428338.8,-844053,-2,-156,134,-2
2.625,-21230.25,371246,428472.8,-844051.8,14,-162,130,2
2.626,-21214,371082.5,428599.8,-844052.2,10,-172,120,-2
2.627,-21215.75,370910.8,428711.2,-844054.2,-10,-174,100,0
2.628,-21233.75,370725.2,428801,-844052,-20,-194,84,2
2.629,-21262.25,370522.2,428874.8,-844052.5,-38,-212,70,-2
2.63,-21314.25,370299.2,428938.5,-844053.8,-62,-230,54,0
2.631,-21388.25,370056.2,428982,-844051.5,-80,-250,34,0
2.632,-21482.5,369797.2,429002,-844052.8,-104,-266,10,-2
2.633,-21602.25,369522.5,429002,-844052.5,-134,-282,-6,2
2.634,-21757,369230.2,428976.2,-844050.8,-166,-302,-50,2
2.635,-21942.5,368917.5,428906,-844050,-198,-326,-76,2
2.636,-22153.25,368580.2,428831,-844049.5,-218,-346,-70,0
2.637,-22396,368216.8,428750.2,-844051,-256,-376,-92,-2
2.638,-22678.5,367826.2,428636.5,-844051.2,-300,-404,-128,2
2.639,-22997.25,367408.8,428487,-844050.5,-332,-428,-160,0
2.64,-23348,366966,428318.2,-844050.2,-366,-450,-172,0
2.641,-23731.25,366502.2,428132.5,-844050,-400,-476,-194,0
2.642,-24150.25,366017.8,427918.8,-844049.5,-440,-498,-228,2
2.643,-24611,365503,427674.5,-844047.5,-480,-528,-254,4
2.644,-25116.25,364959.2,427404,-844046,-522,-552,-280,0
2.645,-25657.75,364395,427115.2,-844047.8,-554,-570,-294,-2
2.646,-26237,363814.2,426808.2,-844049.5,-594,-588,-322,-2
2.647,-26852,363206.8,426480,-844049.5,-628,-620,-344,0
2.648,-27503.5,362562,426125.5,-844049.2,-672,-658,-368,0
2.649,-28202.75,361885,425744.2,-844051,-724,-684,-396,-2
2.65,-28952.25,361188.2,425339.8,-844053.2,-772,-706,-412,-2
2.651,-29720.25,360479,424915.8,-844053.8,-778,-716,-432,0
2.652,-30513.25,359750.2,424477.8,-844053.8,-816,-740,-444,0
2.653,-31368.75,358985.8,424020.5,-844054,-884,-778,-464,-2
2.654,-32270.25,358187.2,423541.5,-844055,-910,-810,-490,0
2.655,-33184.75,357369.5,423042.2,-844056,-922,-824,-508,0
2.656,-34147.25,356535.2,422519.8,-844055,-994,-844,-532,0
2.657,-35174.5,355680,421973.8,-844054.8,-1040,-864,-558,0
2.658,-36211.5,354797.8,421405.8,-844055,-1034,-898,-576,0
2.659,-37265.5,353890.5,420818.2,-844053.5,-1078,-918,-598,2
2.66,-38368.75,352955.8,420214.2,-844052.8,-1122,-942,-614,0
2.661,-39509.75,351999.5,419591.2,-844054.2,-1164,-962,-636,-2
2.662,-40695.5,351024.8,418949.5,-844054.5,-1214,-984,-650,0
2.663,-41925.5,350018.2,418284.2,-844053.2,-1238,-1022,-678,0
2.664,-43179,348987.5,417596.2,-844053.8,-1260,-1036,-698,0
2.665,-44449.75,347941.8,416888,-844052.8,-1284,-1054,-714,4
2.666,-45759.5,346869.5,416163.5,-844050,-1332,-1092,-732,0
2.667,-47120.25,345764.2,415426.8,-844052.5,-1378,-1112,-744,-4
2.668,-48514.75,344646,414678.5,-844054,-1400,-1118,-754,2
2.669,-49924.75,343516,413909.5,-844053,-1410,-1136,-780,0
2.67,-51349.75,342362,413115,-844054.5,-1438,-1162,-808,-2
2.671,-52800.5,341186.8,412301.2,-844054.2,-1466,-1182,-820,2
2.672,-54285.75,339991.8,411481.5,-844053,-1496,-1202,-818,0
2.673,-55780,338794.5,410664.5,-844054.2,-1490,-1202,-814,-2
2.674,-57275.5,337592.8,409847.8,-844054,-1500,-1204,-822,2
2.675,-58787.25,336376.8,409021,-844053.2,-1522,-1216,-836,0
2.676,-60328,335150,408181.2,-844053,-1548,-1230,-846,0
2.677,-61870,333919.5,407345.5,-844052.8,-1536,-1236,-828,0
2.678,-63400.75,332688.5,406527.8,-844053,-1526,-1230,-814,0
2.679,-64936,331461.8,405716.2,-844052,-1546,-1230,-814,0
2.68,-66495.25,330239,404898,-844052.2,-1566,-1222,-822,0
2.681,-68056.5,329011,404076.5,-844051.8,-1552,-1224,-814,0
2.682,-69603,327773.8,403264.8,-844051.5,-1540,-1242,-810,-2
2.683,-71141,326540,402464,-844053,-1540,-1228,-794,0
2.684,-72680.75,325321,401674,-844052,-1540,-1212,-782,2
2.685,-74221.5,324116.5,400892.5,-844050.5,-1532,-1200,-776,0
2.686,-75753.5,322922.5,400118,-844051,-1526,-1196,-770,0
2.687,-77268.25,321729,399349,-844052.2,-1508,-1194,-762,-2
2.688,-78772.25,320535.8,398596.2,-844052.8,-1502,-1184,-740,0
2.689,-80267.25,319355.5,397862.2,-844052,-1490,-1168,-728,0
2.69,-81748.25,318193.8,397138.8,-844052.8,-1474,-1154,-720,-2
2.691,-83202.25,317058,396424.2,-844054.2,-1438,-1122,-710,0
2.692,-84616.75,315939,395720.2,-844054.8,-1390,-1112,-698,0
2.693,-85984,314829.8,395034,-844055.2,-1350,-1106,-680,0
2.694,-87313.75,313731.5,394368.5,-844056,-1320,-1090,-656,-2
2.695,-88648.5,312648.5,393724.5,-844056.5,-1352,-1066,-636,0
2.696,-90030,311593,393097,-844057.8,-1396,-1038,-622,-2
2.697,-91398.75,310575.8,392484,-844058,-1336,-1000,-610,0
2.698,-92684.25,309589,391886.5,-844057.5,-1234,-982,-588,0
2.699,-93912,308602.8,391315,-844057.2,-1226,-996,-556,0
2.7,-95133.25,307597.8,390774.2,-844056.8,-1220,-1006,-524,2
2.701,-96324.75,306617.2,390259.2,-844054,-1160,-950,-504,2
2.702,-97448.25,305698.5,389765,-844052,-1092,-884,-486,2
2.703,-98521.5,304822,389289,-844052.5,-1064,-870,-466,0
2.704,-99577.5,303955.2,388826.2,-844052.5,-1044,-862,-458,2
2.705,-100592.8,303114.5,388380.5,-844053,-990,-822,-438,-2
2.706,-101554.5,302318.8,387964.5,-844054.8,-948,-778,-402,0
2.707,-102478.5,301566.2,387601.8,-844054,-912,-734,-326,0
2.708,-103364.8,300838.5,387310.5,-844056,-864,-724,-262,-4
2.709,-104199.8,300134,387051.8,-844058.2,-810,-694,-256,-2
2.71,-104982.5,299453.5,386773.8,-844057,-770,-666,-286,4
2.711,-105729.5,298794.5,386493.5,-844055.2,-736,-656,-268,0
2.712,-106446.8,298157.5,386250,-844056.2,-702,-632,-226,-2
2.713,-107123.8,297542.8,386032,-844056.5,-664,-602,-212,2
2.714,-107771,296948.5,385814,-844054.8,-636,-588,-220,2
2.715,-108396.8,296372.8,385599,-844053.8,-618,-572,-210,0
2.716,-108988.8,295817,385399.5,-844054.5,-572,-546,-190,0
2.717,-109538.5,295283,385217.8,-844053.5,-532,-524,-178,0
2.718,-110049.2,294769.5,385051.5,-844053,-498,-506,-162,0
2.719,-110526.5,294271,384897.5,-844053,-460,-492,-154,0
2.72,-110967.5,293788.2,384754.2,-844052.2,-426,-468,-132,2
2.721,-111371,293337.8,384632.8,-844052.5,-390,-434,-106,-2
2.722,-111738,292921.8,384540.8,-844053.5,-346,-398,-82,0
2.723,-112066,292534.2,384468.2,-844054.5,-310,-378,-66,0
2.724,-112350.8,292172.8,384410.5,-844054.8,-266,-354,-48,0
2.725,-112597.2,291840.2,384378.2,-844055.2,-236,-316,-18,0
2.726,-112812.2,291532.8,384383,-844055.2,-200,-298,32,0
2.727,-112990.8,291252,384438,-844055.5,-160,-270,64,0
2.728,-113130.5,290999,384500.5,-844055.2,-126,-240,54,2
2.729,-113235.5,290772,384543.5,-844053.8,-96,-216,34,2
2.73,-113315.2,290565.2,384583.2,-844054.8,-72,-202,50,-2
2.731,-113374,290375.8,384660.5,-844054.5,-48,-184,104,0
2.732,-113410.8,290203.5,384783.2,-844055,-26,-160,138,0
2.733,-113426.8,290048.2,384915.2,-844050,-8,-142,128,10
2.734,-113424.5,289909,385021,-844038,8,-130,90,10
2.735,-113410.5,289788.2,385115,-844031.5,18,-108,96,4
2.736,-113389.2,289685.8,385223.8,-844029,28,-98,120,2
2.737,-113327,289600.2,385353,-844028.2,80,-78,134,0
2.738,-113225.8,289529.2,385481.2,-844028.5,106,-66,122,0
2.739,-113125.5,289471.5,385590.2,-844029.2,92,-50,98,0
2.74,-113052.5,289429,385683.8,-844028.8,60,-36,96,2
2.741,-113008.5,289402.5,385783.8,-844027.8,36,-22,106,0
2.742,-112968,289399.8,385896.5,-844027.8,52,20,112,-2
2.743,-112900.2,289423.2,386002,-844028.2,98,20,100,0
2.744,-112772.5,289433.5,386092.5,-844028,156,8,90,0
2.745,-112599.8,289455.5,386178.5,-844028,180,40,88,0
2.746,-112436,289515.2,386270.8,-844028.5,144,68,90,0
2.747,-112310,289592.5,386358.5,-844028.2,116,78,78,0
2.748,-112188.8,289670,386433.8,-844026.8,138,78,70,2
2.749,-112044,289769.8,386498,-844024.8,150,108,50,2
2.75,-111888,289893.5,386523.5,-844022.2,152,128,18,2
2.751,-111735,290020.8,386546,-844019.8,152,130,30,4
2.752,-111589.8,290150.5,386579.2,-844018.2,140,134,32,2
2.753,-111449.8,290294,386598.5,-844013.5,142,146,10,6
2.754,-111319.2,290444.8,386597.8,-844006.8,128,150,-6,4
2.755,-111195,290607.2,386589.8,-844006,128,168,-10,-2
2.756,-111074.8,290791.5,386574.8,-844008.2,124,192,-22,0
2.757,-110956,290989,386547.5,-844008,116,198,-28,2
2.758,-110837,291196.5,386511.2,-844007.8,118,212,-38,0
2.759,-110719.2,291418.5,386468,-844010.5,120,228,-50,-4
2.76,-110602.5,291654.8,386421.2,-844010.8,114,240,-46,2
2.761,-110488,291900,386372.8,-844010.5,114,246,-50,-2
2.762,-110374.8,292156.2,386319.2,-844011.5,114,262,-58,2
2.763,-110263.8,292422.8,386256.8,-844009.8,108,266,-64,0
2.764,-110161.5,292686,386188,-844011.5,92,262,-74,-2
2.765,-110063,292947,386113.8,-844012.5,94,264,-78,0
2.766,-109966.8,293217,386032,-844011.8,88,276,-82,0
2.767,-109878,293486.8,385943,-844011.8,82,266,-88,0
2.768,-109799.2,293748.2,385844.2,-844012.5,76,258,-102,0
2.769,-109727.8,293991.2,385732.2,-844013.2,72,232,-120,0
2.77,-109667,294203.5,385613,-844014.5,62,196,-118,0
2.771,-109615.2,294374.8,385496.8,-844015.5,48,156,-112,-2
2.772,-109569,294515,385383.8,-844015.2,42,132,-114,0
2.773,-109530.2,294666,385276.5,-844015.8,32,170,-98,0
2.774,-109501,294876,385199,-844016.2,24,236,-56,0
2.775,-109478.2,295104.8,385161.8,-844017.2,22,214,-32,-2
2.776,-109462.2,295294.8,385101.2,-844017.8,12,178,-106,-2
2.777,-109456.5,295444,384932,-844018.5,0,140,-200,-2
2.778,-109460.2,295584.2,384735.2,-844018.2,-4,144,-174,2
2.779,-109461,295712.5,384614.8,-844017,4,124,-94,0
2.78,-109457.5,295818.5,384520.5,-844017.8,0,94,-112,-2
2.781,-109469,295903.8,384390.8,-844017,-22,70,-142,2
2.782,-109500.2,295956.5,384246.2,-844012.2,-32,54,-140,6
2.783,-109522,296027.8,384108.5,-844007,-8,88,-134,4
2.784,-109521,296106.8,383981.2,-843997.8,4,64,-118,12
2.785,-109523.5,296154.5,383864.2,-843976.2,-12,32,-110,30
2.786,-109541.8,296170.8,383746.5,-843936.5,-24,6,-128,48
2.787,-109550,296168.5,383624.2,-843880,6,-8,-120,64
2.788,-109535.2,296153,383521.8,-843808.2,18,-20,-96,78
2.789,-109527,296119,383431.8,-843726.5,2,-48,-98,84
2.79,-109527.5,296052.8,383326,-843638,-2,-84,-114,88
2.791,-109525.8,295949.2,383213.8,-843540.8,4,-122,-106,100
2.792,-109521.2,295823,383105.8,-843426.8,4,-140,-112,126
2.793,-109520.8,295673.2,382988.5,-843288.8,-2,-162,-126,152
2.794,-109525.2,295479.8,382855,-843119.5,-6,-214,-136,178
2.795,-109530,295234,382722.2,-842921.8,-4,-268,-136,208
2.796,-109532.2,294945.2,382585.5,-842700,-2,-304,-144,232
2.797,-109534.2,294619.5,382427,-842461,-2,-340,-174,250
2.798,-109536,294252.8,382244.8,-842206.2,0,-388,-190,262
2.799,-109533.5,293849.2,382046.5,-841940.8,4,-414,-204,276
2.8,-109523.5,293419.5,381836.5,-841651.2,14,-444,-216,302
2.801,-109500,292961.5,381611.5,-841334.5,28,-474,-230,318
2.802,-109464.5,292470,381357,-841014,36,-506,-272,308
2.803,-109428.2,291939.2,381051.5,-840715.2,28,-546,-332,292
2.804,-109420.5,291365.5,380693.2,-840416.2,-8,-590,-370,312
2.805,-109440,290758.5,380354.2,-840073.5,-22,-612,-296,370
2.806,-109452.5,290149.5,380115.2,-839668,2,-600,-220,434
2.807,-109444.8,289549.2,379862,-839197,10,-610,-292,498
2.808,-109441.5,288916.5,379516.8,-838675.2,-4,-658,-388,536
2.809,-109438,288227.8,379129.8,-838131.8,12,-710,-384,542
2.81,-109411.2,287512.5,378763.8,-837590.8,42,-716,-354,538
2.811,-109370,286795.8,378400.5,-837039.8,38,-724,-376,562
2.812,-109342.2,286042.2,378005.5,-836466,20,-780,-414,580
2.813,-109318,285233.8,377556.2,-835874.5,34,-826,-472,600
2.814,-109270.2,284396.5,377062,-835265.8,54,-844,-504,620
2.815,-109200.8,283548.2,376551.2,-834623,68,-856,-512,658
2.816,-109125,282665.8,376026.5,-833951.8,78,-906,-540,682
2.817,-109055.8,281741,375461.8,-833270.2,68,-942,-586,682
2.818,-108978,280797,374857.8,-832587.8,82,-944,-614,682
2.819,-108874.2,279843.8,374233.8,-831899.2,116,-964,-638,696
2.82,-108751.2,278863.2,373586,-831187,122,-994,-662,726
2.821,-108626.2,277853.5,372905.8,-830440.8,116,-1020,-690,764
2.822,-108500,276829,372189.2,-829657.2,128,-1028,-732,802
2.823,-108354.2,275803.2,371436.2,-828834,160,-1032,-770,842
2.824,-108189.5,274753.8,370645,-827971.2,174,-1062,-800,880
2.825,-108023.2,273670.5,369841.2,-827075.5,164,-1100,-804,906
2.826,-107862,272563.8,369018.2,-826161.5,162,-1118,-842,914
2.827,-107700.8,271436.2,368161.5,-825234,162,-1136,-866,938
2.828,-107532,270295.8,367286.2,-824289,170,-1144,-886,954
2.829,-107348.8,269142.2,366380.8,-823323.2,190,-1160,-934,974
2.83,-107159.2,267972.5,365423.5,-822328,188,-1176,-978,1012
2.831,-106973.5,266780.5,364435.8,-821294.8,188,-1198,-986,1048
2.832,-106785,265562.2,363440.5,-820234.5,196,-1230,-1002,1068
2.833,-106585.8,264324.5,362422.2,-819155.8,208,-1238,-1030,1086
2.834,-106376.8,263078.8,361380.8,-818065.5,212,-1256,-1050,1094
2.835,-106158.2,261815,360321.2,-816969,222,-1270,-1068,1098
2.836,-105930,260522.8,359243,-815864.8,234,-1306,-1084,1106
2.837,-105699,259202.2,358153,-814751,232,-1328,-1092,1120
2.838,-105468,257868,357056,-813609.5,232,-1336,-1096,1164
2.839,-105227.5,256527.5,355937.5,-812429.8,248,-1352,-1130,1190
2.84,-104970.5,255164.8,354793.5,-811225.2,266,-1372,-1146,1212
2.841,-104704.5,253774.5,353644.2,-809998,262,-1402,-1148,1238
2.842,-104441.2,252365.2,352490.8,-808747,262,-1422,-1162,1258
2.843,-104177,250933.2,351313.8,-807482.8,268,-1432,-1184,1260
2.844,-103906.8,249479.2,350120.5,-806204,272,-1466,-1192,1280
2.845,-103640.8,248010,348919.5,-804905.2,258,-1476,-1204,1310
2.846,-103412.2,246503,347701.2,-803581.5,206,-1540,-1228,1328
2.847,-103206.5,244915,346451.8,-802230.5,218,-1618,-1266,1372
2.848,-102937.5,243288,345167,-800804.2,312,-1622,-1292,1462
2.849,-102609.8,241690.2,343871,-799306.2,322,-1584,-1294,1504
2.85,-102322.8,240102.5,342596.5,-797815.2,250,-1612,-1264,1472
2.851,-102080.5,238465.8,341344.8,-796351.5,254,-1652,-1244,1464
2.852,-101768.2,236793.2,340090.5,-794885,358,-1672,-1262,1470
2.853,-101380.2,235112,338809.5,-793413,396,-1694,-1296,1476
2.854,-101010.5,233405,337489,-791946.8,340,-1718,-1340,1466
2.855,-100677.5,231693.5,336141,-790463,342,-1700,-1342,1506
2.856,-100317.8,229977.5,334785.5,-788926.2,382,-1734,-1358,1564
2.857,-99907.25,228211.5,333438,-787341.8,436,-1798,-1342,1596
2.858,-99468.75,226368,332109.8,-785728,438,-1858,-1322,1622
2.859,-99038,224501,330773.5,-784091.5,434,-1862,-1348,1648
2.86,-98609.5,222653.8,329410.5,-782436.2,432,-1838,-1376,1666
2.861,-98173.75,220785.5,328037,-780760.5,440,-1886,-1372,1690
2.862,-97728.75,218881.2,326663,-779061,454,-1916,-1378,1706
2.863,-97266,216944.2,325290.2,-777350,472,-1948,-1374,1708
2.864,-96785.25,214972.5,323909.2,-775633.2,482,-1988,-1392,1722
2.865,-96299.75,212965,322512,-773901,488,-2022,-1406,1744
2.866,-95804.5,210940.2,321094.5,-772146.2,506,-2024,-1428,1762
2.867,-95291.5,208892.5,319670.2,-770366.2,526,-2066,-1428,1788
2.868,-94765,206813.2,318250,-768561.2,534,-2084,-1420,1818
2.869,-94225,204740.2,316820.5,-766720.5,546,-2068,-1436,1852
2.87,-93661.5,202655.8,315363.5,-764838.8,574,-2104,-1472,1898
2.871,-93073.5,200528.2,313882,-762927.2,592,-2140,-1488,1924
2.872,-92471.75,198399.2,312397.5,-760989,610,-2116,-1482,1938
2.873,-91848.25,196266,310918.8,-759035.8,640,-2156,-1480,1954
2.874,-91198.25,194082.2,309429,-757071,660,-2208,-1502,1968
2.875,-90535.25,191876,307917.5,-755102.5,670,-2194,-1516,1972
2.876,-89859.25,189687.2,306399.2,-753127.8,686,-2176,-1516,1980
2.877,-89153.75,187479.5,304874.8,-751138.2,720,-2230,-1530,2000
2.878,-88422,185239.8,303339.8,-749123.2,738,-2250,-1540,2028
2.879,-87679,182987.2,301785,-747078.8,744,-2252,-1554,2050
2.88,-86926.75,180722,300222.8,-745002.5,762,-2278,-1564,2090
2.881,-86158.5,178420,298654.2,-742904,780,-2320,-1568,2110
2.882,-85372.25,176088.5,297066.5,-740777.5,790,-2324,-1590,2140
2.883,-84571,173773.2,295451.8,-738633.8,806,-2302,-1624,2148
2.884,-83756.5,171458.8,293827,-736471.2,818,-2332,-1622,2172
2.885,-82926.75,169107.2,292205.5,-734280.5,832,-2368,-1620,2200
2.886,-82087.25,166746,290568,-732056.8,842,-2362,-1656,2238
2.887,-81239.25,164383,288891.5,-729806.2,854,-2378,-1686,2266
2.888,-80368.25,161993.2,287204.8,-727531,880,-2398,-1678,2292
2.889,-79473.25,159606.2,285529.2,-725223,898,-2360,-1674,2320
2.89,-78562.25,157243,283843.5,-722889,918,-2356,-1692,2346
2.891,-77639,154874,282123,-720535,936,-2380,-1736,2368
2.892,-76682.75,152468.5,280392.5,-718158.5,978,-2428,-1728,2394
2.893,-75685,150044.8,278682.2,-715758.5,1010,-2420,-1704,2400
2.894,-74670.75,147635.8,276964.2,-713345,1016,-2408,-1728,2414
2.895,-73652.25,145205.5,275221,-710925.8,1024,-2444,-1748,2422
2.896,-72607.25,142748.5,273487,-708502.2,1058,-2438,-1722,2428
2.897,-71506,140318,271777.5,-706068,1124,-2418,-1708,2446
2.898,-70361.75,137893.5,270056.2,-703617,1152,-2436,-1728,2446
2.899,-69211.25,135429,268308,-701131.8,1154,-2482,-1758,2508
2.9,-68050.75,132939.5,266569.2,-698602.8,1172,-2484,-1726,2542
2.901,-66864.25,130469.8,264851.2,-696035.5,1196,-2466,-1722,2582
2.902,-65651.75,127982.2,263125.2,-693434.5,1220,-2518,-1734,2610
2.903,-64412.75,125464,261384.8,-690819.8,1256,-2510,-1742,2612
2.904,-63130.75,122956.8,259634,-688197.5,1302,-2506,-1748,2626
2.905,-61822.25,120435,257882.8,-685557,1300,-2540,-1750,2652
2.906,-60521,117875.2,256131.8,-682900.5,1298,-2566,-1748,2656
2.907,-59202.25,115315.5,254372,-680227,1332,-2564,-1756,2688
2.908,-57831.5,112742,252598.8,-677526.2,1398,-2578,-1776,2712
2.909,-56413.5,110158,250820.8,-674797.5,1434,-2586,-1770,2738
2.91,-54970.75,107567,249053.8,-672048.5,1456,-2580,-1756,2758
2.911,-53500.25,104971.8,247288.8,-669274,1484,-2586,-1768,2792
2.912,-51994.75,102375.2,245512.8,-666472.5,1526,-2608,-1780,2808
2.913,-50448,99759.5,243746.2,-663663.5,1564,-2608,-1748,2800
2.914,-48862.75,97146.75,242007.5,-660856.5,1602,-2608,-1732,2800
2.915,-47251,94547,240278.8,-658035.2,1620,-2596,-1738,2818
2.916,-45605.25,91955.5,238538.2,-655198.2,1668,-2590,-1746,2842
2.917,-43922.75,89356,236808.5,-652346.8,1696,-2604,-1712,2854
2.918,-42208,86739,235107.2,-649465.8,1730,-2620,-1686,2892
2.919,-40466.75,84117.5,233419.8,-646545.2,1756,-2608,-1690,2936
2.92,-38694.25,81504,231731.8,-643612.5,1786,-2596,-1690,2938
2.921,-36900,78908,230055.2,-640677.8,1804,-2592,-1660,2936
2.922,-35093.25,76316,228404.2,-637744.8,1826,-2588,-1646,2920
2.923,-33253,73737.25,226757.2,-634820.5,1866,-2566,-1646,2920
2.924,-31369.5,71163,225106.8,-631897.8,1898,-2582,-1652,2928
2.925,-29480,68580,223469,-628972.8,1882,-2574,-1622,2926
2.926,-27604.75,66031.5,221857.2,-626038.5,1880,-2532,-1600,2930
2.927,-25709.5,63507.5,220256.5,-623102.8,1910,-2522,-1600,2924
2.928,-23768,60988,218657.5,-620180.2,1958,-2500,-1594,2918
2.929,-21807.5,58484.5,217076.5,-617271.2,1960,-2492,-1566,2900
2.93,-19848.5,56003.75,215528.2,-614370,1956,-2470,-1536,2886
2.931,-17897.75,53544.5,214006.5,-611489.8,1944,-2450,-1510,2874
2.932,-15950,51111.5,212507.5,-608638.5,1958,-2418,-1488,2832
2.933,-13947.25,48707.75,211025.5,-605801.8,2054,-2384,-1474,2834
2.934,-11837.75,46343.75,209564.5,-602963,2134,-2330,-1450,2848
2.935,-9725.75,44028.75,208122.5,-600115,2074,-2286,-1434,2846
2.936,-7690.25,41756.25,206701.2,-597263.5,2022,-2252,-1404,2840
2.937,-5654,39500,205298.2,-594429,2060,-2262,-1392,2810
2.938,-3560,37211.25,203918,-591627.5,2114,-2308,-1370,2780
2.939,-1468,34923,202555.8,-588867.5,2074,-2264,-1356,2740
2.94,595,32704.75,201214,-586152.2,2064,-2178,-1334,2702
2.941,2686.25,30543.25,199887.8,-583466,2110,-2142,-1324,2684
2.942,4812.25,28380.5,198568.2,-580789.8,2128,-2168,-1312,2672
2.943,6928,26224.25,197255.2,-578114.2,2104,-2146,-1312,2672
2.944,9013.25,24124,195965,-575445,2080,-2076,-1272,2664
2.945,11077.75,22071,194715.5,-572789.2,2054,-2034,-1230,2652
2.946,13134.75,20055,193503.5,-570151,2056,-1996,-1208,2630
2.947,15202.5,18097.75,192294.8,-567530.5,2074,-1928,-1216,2614
2.948,17265.25,16200.5,191070,-564942,2050,-1862,-1228,2568
2.949,19290.25,14341.75,189862,-562388.5,2004,-1834,-1188,2538
2.95,21291,12533.75,188707,-559861.2,1998,-1778,-1136,2520
2.951,23288.75,10778,187587,-557319.5,1996,-1742,-1118,2562
2.952,25263.75,9051.5,186470,-554756,1962,-1722,-1122,2546
2.953,27210.25,7347.75,185360.8,-552252.2,1936,-1682,-1098,2472
2.954,29156.75,5704.25,184272.2,-549777.2,1950,-1610,-1080,2490
2.955,31093.5,4115.25,183209.8,-547283,1930,-1576,-1052,2484
2.956,32986.5,2551.75,182172.2,-544855.8,1876,-1558,-1026,2390
2.957,34854.5,1005.25,181155,-542507.5,1872,-1534,-1010,2330
2.958,36730.75,-509,180152.2,-540197.5,1882,-1500,-996,2294
2.959,38599.25,-1990.25,179166.5,-537938.8,1850,-1466,-978,2240
2.96,40435.75,-3448.75,178193.2,-535724.8,1826,-1450,-968,2198
2.961,42256.25,-4870.25,177227.8,-533537.5,1818,-1396,-956,2188
2.962,44074,-6252.25,176286,-531349.2,1816,-1374,-928,2198
2.963,45872,-7613.5,175375.2,-529146.5,1784,-1354,-898,2204
2.964,47652,-8967.5,174479.8,-526932.5,1780,-1348,-892,2218
2.965,49428,-10296.25,173583,-524729.5,1774,-1308,-894,2190
2.966,51200,-11584.5,172693.2,-522551.5,1764,-1272,-882,2160
2.967,52963.75,-12847.5,171827.5,-520414.8,1764,-1254,-858,2120
2.968,54711.5,-14091.25,170977.2,-518328.8,1736,-1234,-846,2064
2.969,56442,-15314.5,170129,-516285.5,1722,-1214,-848,2024
2.97,58166.75,-16510.5,169290.5,-514275.2,1722,-1178,-832,1996
2.971,59892.5,-17681.25,168466,-512281.2,1724,-1166,-820,1992
2.972,61616.25,-18834.25,167655.5,-510289.8,1720,-1150,-804,1992
2.973,63326.75,-19971.75,166852.5,-508294.8,1708,-1128,-802,1998
2.974,65020.75,-21082.75,166055.8,-506303,1690,-1092,-794,1986
2.975,66710.25,-22162.75,165262.5,-504324.2,1694,-1068,-792,1968
2.976,68402.5,-23220.5,164476.2,-502375.8,1690,-1050,-786,1930
2.977,70087.25,-24266,163700,-500470,1674,-1036,-770,1882
2.978,71754,-25295,162936.5,-498605,1660,-1020,-760,1848
2.979,73414.25,-26291.75,162185.5,-496776,1658,-984,-748,1814
2.98,75071.75,-27257.25,161451.2,-494967.8,1650,-958,-728,1798
2.981,76711,-28207.25,160730.8,-493173.2,1630,-950,-712,1790
2.982,78330.5,-29141.5,160011.8,-491383,1616,-928,-724,1788
2.983,79939,-30052,159289.5,-489591.8,1604,-898,-722,1788
2.984,81535.75,-30942.25,158572.5,-487808.8,1588,-876,-712,1770
2.985,83115.5,-31817.25,157873.5,-486051.8,1572,-872,-690,1746
2.986,84675.25,-32682.25,157190.5,-484330.2,1552,-862,-682,1714
2.987,86216,-33532.75,156513.2,-482635,1532,-840,-674,1680
2.988,87739.5,-34364.75,155832.2,-480970.5,1520,-818,-682,1648
2.989,89250,-35171.25,155152.5,-479340,1504,-798,-680,1620
2.99,90738,-35959.5,154480.5,-477736.2,1480,-780,-670,1598
2.991,92209,-36729.75,153817.2,-476148.5,1464,-756,-654,1578
2.992,93667.75,-37475.5,153162.2,-474568.8,1460,-736,-654,1574
2.993,95106.25,-38204,152514,-472995.8,1428,-726,-644,1570
2.994,96519.25,-38921,151866.8,-471433.5,1400,-706,-646,1554
2.995,97905,-39610.5,151220.5,-469892.5,1368,-674,-644,1524
2.996,99266,-40273.25,150580,-468382.5,1358,-656,-640,1494
2.997,100618.5,-40914.25,149948,-466913.8,1344,-638,-626,1448
2.998,101965.5,-41530,149325.5,-465482,1334,-600,-618,1420
2.999,103284.2,-42121,148711.5,-464076,1304,-584,-612,1402
3,104571.5,-42692.75,148099.8,-462677.2,1274,-564,-610,1390
3.001,105840,-43245.75,147487.2,-461286.2,1264,-542,-608,1386
3.002,107086,-43771.75,146877,-459911.2,1238,-518,-610,1368
3.003,108317.8,-44280.5,146271.2,-458552,1228,-502,-602,1350
3.004,109530,-44773.5,145670.8,-457207.2,1206,-480,-592,1332
3.005,110715.8,-45242.25,145076.5,-455881,1168,-460,-594,1318
3.006,111867.5,-45692.75,144488.2,-454586,1140,-448,-586,1276
3.007,113007,-46131.25,143899.8,-453323.5,1138,-434,-590,1256
3.008,114142.8,-46555.25,143310,-452085.5,1136,-418,-588,1226
3.009,115255.2,-46963.25,142721.5,-450870,1102,-402,-586,1200
