"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:InvertedU_trajV2.FSM_Status_InvertedU:GreaterThen:10"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1775582943910000000"
"StartRawTime","1775582943910000000"
"Index","Date","ClockTime","RawTime","TraceSampID","R_Delta3.Monitor.CmdPosCartesian.Base.x.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Acc:LREAL","newPieceAvailable:BOOL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Vel_Trans:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Acc_Trans:LREAL","R_Delta3.TrajV2.Monitor.Status.Movement.MovingSync:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Stopped:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Aborting:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.LastBlending_Active:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.MovementInBuffer:BOOL","InvertedU_trajV2.MoveSync:BOOL","R_Delta3.TrajV2.Actions.MoveSync:BOOL"
"1161","2026-04-07","17:29:03.91","1775582943910000000","","200","150","-820","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"1162","2026-04-07","17:29:03.91","1775582943912000000","","199.99999999999997","150","-819.99980659589858","-1.4210854715202004E-11","0","0.096702050711883203","-7.1054273576010019E-09","0","1","48.351025355941601","0.096702050711883203","48.351025355941601","1","0","0","0","1","0","0"
"1163","2026-04-07","17:29:03.91","1775582943914000000","","199.99999999999997","150","-819.99846582757971","0","0","0.67038415943443397","7.1054273576010019E-09","0","1","286.84105436127538","0.67038415943443397","286.84105436127538","1","0","0","0","0","0","0"
"1164","2026-04-07","17:29:03.91","1775582943916000000","","199.99999999999997","150","-819.99486604744959","0","0","1.7998900650582073","0","0","1","564.75295281188664","1.7998900650582073","564.75295281188664","1","0","0","0","0","0","0"
"1165","2026-04-07","17:29:03.91","1775582943918000000","","199.99999999999997","150","-819.9879341685712","0","0","3.4659394391951537","0","0","1","833.02468706847321","3.4659394391951537","833.02468706847321","1","0","0","0","0","0","0"
"1166","2026-04-07","17:29:03.92","1775582943920000000","","199.99999999999997","150","-819.97663522143853","0","0","5.6494735663363826","0","0","1","1091.7670635706145","5.6494735663363826","1091.7670635706145","1","0","0","0","0","0","0"
"1167","2026-04-07","17:29:03.92","1775582943922000000","","199.99999999999997","150","-819.95997191075037","0","0","8.331655344079536","0","0","1","1341.0908888715767","8.331655344079536","1341.0908888715767","1","0","0","0","0","0","0"
"1168","2026-04-07","17:29:03.92","1775582943924000000","","199.99999999999997","150","-819.93698417218445","0","0","11.493869282958258","0","0","1","1581.1069694393609","11.493869282958258","1581.1069694393609","1","0","0","0","0","0","0"
"1169","2026-04-07","17:29:03.92","1775582943926000000","","199.99999999999997","150","-819.90674872917168","0","0","15.117721506385351","0","0","1","1811.9261117135466","15.117721506385351","1811.9261117135466","1","0","0","0","0","0","0"
"1170","2026-04-07","17:29:03.92","1775582943928000000","","199.99999999999997","150","-819.86837864967003","0","0","19.185039750823307","0","0","1","2033.6591222189782","19.185039750823307","2033.6591222189782","1","0","0","0","0","0","0"
"1171","2026-04-07","17:29:03.93","1775582943930000000","","199.99999999999997","150","-819.82102290293869","0","0","23.677873365670621","0","0","1","2246.4168074236568","23.677873365670621","2246.4168074236568","1","0","0","0","0","0","0"
"1172","2026-04-07","17:29:03.93","1775582943932000000","","199.99999999999997","150","-819.76386591631183","0","0","28.578493313432318","0","0","1","2450.3099738808487","28.578493313432318","2450.3099738808487","1","0","0","0","0","0","0"
"1173","2026-04-07","17:29:03.93","1775582943934000000","","199.99999999999997","150","-819.69612713197318","0","0","33.869392169322055","0","0","1","2645.4494279448681","33.869392169322055","2645.4494279448681","1","0","0","0","0","0","0"
"1174","2026-04-07","17:29:03.93","1775582943936000000","","199.99999999999997","150","-819.61706056372964","0","0","39.533284121773704","0","0","1","2831.9459762258248","39.533284121773704","2831.9459762258248","1","0","0","0","0","0","0"
"1175","2026-04-07","17:29:03.93","1775582943938000000","","199.99999999999997","150","-819.52595435378578","0","0","45.55310497192977","0","0","1","3009.9104250780329","45.55310497192977","3009.9104250780329","1","0","0","0","0","0","0"
"1176","2026-04-07","17:29:03.94","1775582943940000000","","199.99999999999997","150","-819.42213032951724","0","0","51.912012134266661","0","0","1","3179.4535811684455","51.912012134266661","3179.4535811684455","1","0","0","0","0","0","0"
"1177","2026-04-07","17:29:03.94","1775582943942000000","","199.99999999999997","150","-819.30494356024542","0","0","58.593384635912571","0","0","1","3340.6862508229551","58.593384635912571","3340.6862508229551","1","0","0","0","0","0","0"
"1178","2026-04-07","17:29:03.94","1775582943944000000","","199.99999999999997","150","-819.17378191401133","0","0","65.580823117045384","0","0","1","3493.7192405664064","65.580823117045384","3493.7192405664064","1","0","0","0","0","0","0"
"1179","2026-04-07","17:29:03.94","1775582943946000000","","199.99999999999997","150","-819.02806561434943","0","0","72.858149830949515","0","0","1","3638.6633569520654","72.858149830949515","3638.6633569520654","1","0","0","0","0","0","0"
"1180","2026-04-07","17:29:03.94","1775582943948000000","","199.99999999999997","150","-818.86724679706219","0","0","80.409408643618008","0","0","1","3775.6294063342466","80.409408643618008","3775.6294063342466","1","0","0","0","0","0","0"
"1181","2026-04-07","17:29:03.95","1775582943950000000","","199.99999999999997","150","-818.69080906699355","0","0","88.21886503432097","0","0","1","3904.7281953514812","88.21886503432097","3904.7281953514812","1","0","0","0","0","0","0"
"1182","2026-04-07","17:29:03.95","1775582943952000000","","199.99999999999997","150","-818.49826705480336","0","0","96.271006095093981","0","0","1","4026.0705303865052","96.271006095093981","4026.0705303865052","1","0","0","0","0","0","0"
"1183","2026-04-07","17:29:03.95","1775582943954000000","","199.99999999999997","150","-818.28916597374143","0","0","104.55054053096546","0","0","1","4139.7672179357414","104.55054053096546","4139.7672179357414","1","0","0","0","0","0","0"
"1184","2026-04-07","17:29:03.95","1775582943956000000","","199.99999999999997","150","-818.06308117642141","0","0","113.04239866001353","0","0","1","4245.9290645240344","113.04239866001353","4245.9290645240344","1","0","0","0","0","0","0"
"1185","2026-04-07","17:29:03.95","1775582943958000000","","199.99999999999997","150","-817.81961771159501","0","0","121.73173241319546","0","0","1","4344.6668765909635","121.73173241319546","4344.6668765909635","1","0","0","0","0","0","0"
"1186","2026-04-07","17:29:03.96","1775582943960000000","","199.99999999999997","150","-817.55840988092609","0","0","130.60391533446136","0","0","1","4436.0914606329516","130.60391533446136","4436.0914606329516","1","0","0","0","0","0","0"
"1187","2026-04-07","17:29:03.96","1775582943962000000","","199.99999999999997","150","-817.27912079576424","0","0","139.64454258092474","0","0","1","4520.3136232316865","139.64454258092474","4520.3136232316865","1","0","0","0","0","0","0"
"1188","2026-04-07","17:29:03.96","1775582943964000000","","199.99999999999997","150","-816.98144193391988","0","0","148.83943092218033","0","0","1","4597.4441706277958","148.83943092218033","4597.4441706277958","1","0","0","0","0","0","0"
"1189","2026-04-07","17:29:03.96","1775582943966000000","","199.99999999999997","150","-816.665092696437","0","0","158.17461874144101","0","0","1","4667.5939096303409","158.17461874144101","4667.5939096303409","1","0","0","0","0","0","0"
"1190","2026-04-07","17:29:03.96","1775582943968000000","","199.99999999999997","150","-816.32981996436831","0","0","167.63636603434406","0","0","1","4730.8736464515277","167.63636603434406","4730.8736464515277","1","0","0","0","0","0","0"
"1191","2026-04-07","17:29:03.97","1775582943970000000","","199.99999999999997","150","-815.97539765554882","0","0","177.211154409747","0","0","1","4787.3941877014659","177.211154409747","4787.3941877014659","1","0","0","0","0","0","0"
"1192","2026-04-07","17:29:03.97","1775582943972000000","","199.99999999999997","150","-815.60162628136982","0","0","186.88568708950015","0","0","1","4837.2663398765781","186.88568708950015","4837.2663398765781","1","0","0","0","0","0","0"
