"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:InvertedU_trajV2.FSM_Status_InvertedU:GreaterThen:10"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1775584356046000000"
"StartRawTime","1775584356046000000"
"Index","Date","ClockTime","RawTime","TraceSampID","R_Delta3.Monitor.CmdPosCartesian.Base.x.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Acc:LREAL","newPieceAvailable:BOOL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Vel_Trans:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Acc_Trans:LREAL","R_Delta3.TrajV2.Monitor.Status.Movement.MovingSync:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Stopped:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Aborting:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.LastBlending_Active:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.MovementInBuffer:BOOL","InvertedU_trajV2.MoveSync:BOOL","R_Delta3.TrajV2.Actions.MoveSync:BOOL"
"1672","2026-04-07","17:52:37.11","1775584357112000000","","200","-150","-820","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"1673","2026-04-07","17:52:37.11","1775584357114000000","","200","-150","-820","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"1674","2026-04-07","17:52:37.11","1775584357116000000","","200","-150","-820","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"1675","2026-04-07","17:52:37.11","1775584357118000000","","200","-150","-820","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"1676","2026-04-07","17:52:37.12","1775584357120000000","","200","-150","-820","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"1677","2026-04-07","17:52:37.12","1775584357122000000","","200","-150","-820","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"1678","2026-04-07","17:52:37.12","1775584357124000000","","200","-150","-819.99945662898665","0","0","0.27168550667511226","0","0","1","135.84275333755613","0.27168550667511226","135.84275333755613","0","0","0","0","0","0","0"
"1679","2026-04-07","17:52:37.12","1775584357126000000","","200","-150","-819.99570490422786","0","0","1.8758623793928564","0","0","1","802.08843635887206","1.8758623793928564","802.08843635887206","0","0","0","0","1","0","1"
"1680","2026-04-07","17:52:37.12","1775584357128000000","","200","-150","-819.98567799865873","0","0","5.0134527845671073","0","0","1","1568.7952025871255","5.0134527845671073","1568.7952025871255","0","0","0","0","1","0","1"
"1681","2026-04-07","17:52:37.13","1775584357130000000","","200","-150","-819.96646121081017","0","0","9.6083939242816996","0","0","1","2297.4705698572961","9.6083939242816996","2297.4705698572961","0","0","0","0","1","0","1"
"1682","2026-04-07","17:52:37.13","1775584357132000000","","200","-150","-819.93528947094603","0","0","15.585869932067453","0","0","1","2988.7380038928768","15.585869932067453","2988.7380038928768","0","0","0","0","1","0","1"
"1683","2026-04-07","17:52:37.13","1775584357134000000","","200","-150","-819.88954484720136","0","0","22.872311872333739","0","0","1","3643.2209701331431","22.872311872333739","3643.2209701331431","0","0","0","0","1","0","1"
"1684","2026-04-07","17:52:37.13","1775584357136000000","","200","-150","-819.82675405171972","0","0","31.395397740823228","0","0","1","4261.5429342447442","31.395397740823228","4261.5429342447442","0","0","0","0","1","0","1"
"1685","2026-04-07","17:52:37.13","1775584357138000000","","200","-150","-819.7445859467914","0","0","41.084052464157139","0","0","1","4844.3273616669558","41.084052464157139","4844.3273616669558","0","0","0","0","1","0","1"
"1686","2026-04-07","17:52:37.14","1775584357140000000","","200","-150","-819.64084905099071","0","0","51.868447900346837","0","0","1","5392.1977180948488","51.868447900346837","5392.1977180948488","0","0","0","0","1","0","1"
"1687","2026-04-07","17:52:37.14","1775584357142000000","","200","-150","-819.51348904531426","0","0","63.680002838225391","0","0","1","5905.7774689392772","63.680002838225391","5905.7774689392772","0","0","0","0","1","0","1"
"1688","2026-04-07","17:52:37.14","1775584357144000000","","200","-150","-819.36058627931845","0","0","76.451382997902328","0","0","1","6385.6900798384686","76.451382997902328","6385.6900798384686","0","0","0","0","1","0","1"
"1689","2026-04-07","17:52:37.14","1775584357146000000","","200","-150","-819.18035327725738","0","0","90.116501030536256","0","0","1","6832.5590163169636","90.116501030536256","6832.5590163169636","0","0","0","0","1","0","1"
"1690","2026-04-07","17:52:37.14","1775584357148000000","","200","-150","-818.97113224422048","0","0","104.61051651844855","0","0","1","7247.0077439561464","104.61051651844855","7247.0077439561464","0","0","0","0","1","0","1"
"1691","2026-04-07","17:52:37.15","1775584357150000000","","200","-150","-818.73139257227047","0","0","119.86983597500966","0","0","1","7629.6597282805578","119.86983597500966","7629.6597282805578","0","0","0","0","1","0","1"
"1692","2026-04-07","17:52:37.15","1775584357152000000","","200","-150","-818.45972834658107","0","0","135.83211284469598","0","0","1","7981.1384348431602","135.83211284469598","7981.1384348431602","0","0","0","0","1","0","1"
"1693","2026-04-07","17:52:37.15","1775584357154000000","","200","-150","-818.15485585157455","0","0","152.43624750326035","0","0","1","8302.0673292821812","152.43624750326035","8302.0673292821812","0","0","0","0","1","0","1"
"1694","2026-04-07","17:52:37.15","1775584357156000000","","200","-150","-817.81561107706011","0","0","169.62238725722045","0","0","1","8593.0698769800529","169.62238725722045","8593.0698769800529","0","0","0","0","1","0","1"
"1695","2026-04-07","17:52:37.15","1775584357158000000","","200","-150","-817.4409472243708","0","0","187.33192634465468","0","0","1","8854.7695437171114","187.33192634465468","8854.7695437171114","0","0","0","0","1","0","1"
"1696","2026-04-07","17:52:37.16","1775584357160000000","","200","-150","-817.02993221250222","0","0","205.50750593429257","0","0","1","9087.7897948189457","205.50750593429257","9087.7897948189457","0","0","0","0","1","0","1"
"1697","2026-04-07","17:52:37.16","1775584357162000000","","200","-150","-816.58174618424948","0","0","224.09301412636751","0","0","1","9292.7540960374699","224.09301412636751","9292.7540960374699","0","0","0","0","1","0","1"
"1698","2026-04-07","17:52:37.16","1775584357164000000","","200","-150","-816.09567901234573","0","0","243.03358595187774","0","0","1","9470.2859127551164","243.03358595187774","9470.2859127551164","0","0","0","0","1","0","1"
"1699","2026-04-07","17:52:37.16","1775584357166000000","","200","-150","-815.57112780559919","0","0","262.2756033732685","0","0","1","9621.0087106953779","262.2756033732685","9621.0087106953779","0","0","0","0","1","0","1"
"1700","2026-04-07","17:52:37.16","1775584357168000000","","200","-150","-815.00759441503158","0","0","281.76669528380671","0","0","1","9745.5459552691082","281.76669528380671","9745.5459552691082","0","0","0","0","1","0","1"
"1701","2026-04-07","17:52:37.17","1775584357170000000","","200","-150","-814.40468294001539","0","0","301.45573750809262","0","0","1","9844.5211121429566","301.45573750809262","9844.5211121429566","0","0","0","0","1","0","1"
"1702","2026-04-07","17:52:37.17","1775584357172000000","","200","-150","-813.76209723441229","0","0","321.29285280154818","0","0","1","9918.557646727777","321.29285280154818","9918.557646727777","0","0","0","0","1","0","1"
"1703","2026-04-07","17:52:37.17","1775584357174000000","","200","-150","-813.0796384127101","0","0","341.22941085109915","0","0","1","9968.2790247754838","341.22941085109915","9968.2790247754838","0","0","0","0","1","0","1"
"1704","2026-04-07","17:52:37.17","1775584357176000000","","200","-150","-812.35720235616111","0","0","361.21802827449301","0","0","1","9994.3087116969309","361.21802827449301","9994.3087116969309","0","0","0","0","1","0","1"
"1705","2026-04-07","17:52:37.17","1775584357178000000","","200","-150","-811.59477721891983","0","0","381.21256862064001","0","0","1","9997.2701730735025","381.21256862064001","9997.2701730735025","0","0","0","0","1","0","1"
"1706","2026-04-07","17:52:37.18","1775584357180000000","","200","-150","-810.79244093418072","0","0","401.16814236955634","0","0","1","9977.786874458161","401.16814236955634","9977.786874458161","0","0","0","0","1","0","1"
"1707","2026-04-07","17:52:37.18","1775584357182000000","","200","-150","-809.95035872031565","0","0","421.0411069325346","0","0","1","9936.482281489134","421.0411069325346","9936.482281489134","0","0","0","0","1","0","1"
"1708","2026-04-07","17:52:37.18","1775584357184000000","","200","-150","-809.06878058701227","0","0","440.78906665168915","0","0","1","9873.9798595772754","440.78906665168915","9873.9798595772754","0","0","0","0","1","0","1"
"1709","2026-04-07","17:52:37.18","1775584357186000000","","200","-150","-808.14803884141133","0","0","460.37087280046762","0","0","1","9790.9030743892345","460.37087280046762","9790.9030743892345","0","0","0","0","1","0","1"
"1710","2026-04-07","17:52:37.18","1775584357188000000","","200","-150","-807.1885455942446","0","0","479.74662358336673","0","0","1","9687.8753914495519","479.74662358336673","9687.8753914495519","0","0","0","0","1","0","1"
"1711","2026-04-07","17:52:37.19","1775584357190000000","","200","-150","-806.19079026597274","0","0","498.87766413593226","0","0","1","9565.5202762827685","498.87766413593226","9565.5202762827685","0","0","0","0","1","0","1"
"1712","2026-04-07","17:52:37.19","1775584357192000000","","200","-150","-805.15533709292288","0","0","517.72658652492964","0","0","1","9424.46119449869","517.72658652492964","9424.46119449869","0","0","0","0","1","0","1"
"1713","2026-04-07","17:52:37.19","1775584357194000000","","200","-150","-804.08282263342653","0","0","536.25722974817336","0","0","1","9265.3216116218573","536.25722974817336","9265.3216116218573","0","0","0","0","1","0","1"
"1714","2026-04-07","17:52:37.19","1775584357196000000","","200","-150","-802.97395327395759","0","0","554.43467973447014","0","0","1","9088.7249931483893","554.43467973447014","9088.7249931483893","0","0","0","0","1","0","1"
"1715","2026-04-07","17:52:37.19","1775584357198000000","","200","-150","-801.82950273526956","0","0","572.22526934401685","0","0","1","8895.2948047733571","572.22526934401685","8895.2948047733571","0","0","0","0","1","0","1"
"1716","2026-04-07","17:52:37.20","1775584357200000000","","200","-150","-800.65030957853389","0","0","589.59657836783208","0","0","1","8685.6545119076145","589.59657836783208","8685.6545119076145","0","0","0","0","1","0","1"
"1717","2026-04-07","17:52:37.20","1775584357202000000","","200","-150","-799.43727471147747","0","0","606.51743352821086","0","0","1","8460.4275801893891","606.51743352821086","8460.4275801893891","0","0","0","0","1","0","1"
"1718","2026-04-07","17:52:37.20","1775584357204000000","","200","-150","-798.19135889452025","0","0","622.95790847861099","0","0","1","8220.2374752000651","622.95790847861099","8220.2374752000651","0","0","0","0","1","0","1"
"1719","2026-04-07","17:52:37.20","1775584357206000000","","200","-150","-796.91358024691363","0","0","638.88932380331198","0","0","1","7965.7076623504963","638.88932380331198","7965.7076623504963","0","0","0","0","1","0","1"
"1720","2026-04-07","17:52:37.20","1775584357208000000","","200","-150","-795.60501175287743","0","0","654.28424701809718","0","0","1","7697.4616073925972","654.28424701809718","7697.4616073925972","0","0","0","0","1","0","1"
"1721","2026-04-07","17:52:37.21","1775584357210000000","","200","-150","-794.26677876773829","0","0","669.11649256957162","0","0","1","7416.1227757372217","669.11649256957162","7416.1227757372217","0","0","0","0","1","0","1"
"1722","2026-04-07","17:52:37.21","1775584357212000000","","200","-150","-792.9000565240674","0","0","683.36112183544628","0","0","1","7122.3146329373321","683.36112183544628","7122.3146329373321","0","0","0","0","1","0","1"
"1723","2026-04-07","17:52:37.21","1775584357214000000","","200","-150","-791.50606763781775","0","0","696.99444312482228","0","0","1","6816.6606446879996","696.99444312482228","6816.6606446879996","0","0","0","0","1","0","1"
"1724","2026-04-07","17:52:37.21","1775584357216000000","","200","-150","-790.08607961446262","0","0","709.9940116775656","0","0","1","6499.7842763716562","709.9940116775656","6499.7842763716562","0","0","0","0","1","0","1"
"1725","2026-04-07","17:52:37.21","1775584357218000000","","200","-150","-788.64140235513275","0","0","722.33862966493234","0","0","1","6172.308993683373","722.33862966493234","6172.308993683373","0","0","0","0","1","0","1"
"1726","2026-04-07","17:52:37.22","1775584357220000000","","200","-150","-787.17338566275464","0","0","734.00834618905719","0","0","1","5834.8582620624256","734.00834618905719","5834.8582620624256","0","0","0","0","1","0","1"
"1727","2026-04-07","17:52:37.22","1775584357222000000","","200","-150","-785.68341674818805","0","0","744.98445728329443","0","0","1","5488.0555471186199","744.98445728329443","5488.0555471186199","0","0","0","0","1","0","1"
"1728","2026-04-07","17:52:37.22","1775584357224000000","","200","-149.99966902587894","-784.17291773636362","0","0.1654870605278802","755.24950591221796","0","82.743530263940102","1","5132.5243144617616","755.2495240426282","5132.533379666881","1","0","0","0","1","0","0"
"1729","2026-04-07","17:52:37.22","1775584357226000000","","200","-149.9973713291657","-782.64334317242094","0","1.1488483566211016","764.78728197133705","0","491.68064804661071","1","4768.8880295595482","764.78814485951068","4769.3104084412425","1","0","0","0","0","0","0"
"1730","2026-04-07","17:52:37.22","1775584357228000000","","200","-149.9911925234766","-781.09617752784629","0","3.0894028445516142","773.58282228732378","0","970.27724396525628","1","4397.7701579933637","773.58899122722596","4400.4231838576397","1","0","0","0","0","0","0"
"1731","2026-04-07","17:52:37.23","1775584357230000000","","200","-149.97927481210931","-779.53293270661038","0","5.958855683644515","781.62241061795612","0","1434.7264195464504","1","4019.7941653161706","781.64512455543615","4028.0666641050971","1","0","0","0","0","0","0"
"1732","2026-04-07","17:52:37.23","1775584357232000000","","200","-149.95981643324191","-777.95514555130615","0","9.7291894336990481","788.89357765211798","0","1885.1668750272665","1","3635.5835170809314","788.95356896828548","3654.222206424663","1","0","0","0","0","0","0"
"1733","2026-04-07","17:52:37.23","1775584357234000000","","200","-149.9310711051323","-776.36437534928621","0","14.372664054803863","795.38510100996973","0","2321.7373105524075","1","3245.7616789258736","795.51494793037796","3280.6894810462381","1","0","0","0","0","0","0"
"1734","2026-04-07","17:52:37.23","1775584357236000000","","200","-149.89134747131723","-774.76220133880145","0","19.861816907535967","801.08700524237975","0","2744.5764263660521","1","2850.9521162050078","801.33319021432851","2909.1211419752767","1","0","0","0","0","0","0"
"1735","2026-04-07","17:52:37.23","1775584357238000000","","200","-149.83900854581154","-773.15022021513778","0","26.169462752847039","805.99056183183393","0","3153.8229226555359","1","2451.7782947270916","806.41529409031421","2541.0519379928473","1","0","0","0","0","0","0"
"1736","2026-04-07","17:52:37.24","1775584357240000000","","200","-149.77247115830741","-771.53004363675473","0","33.268693752063427","810.0882891915262","0","3549.6154996081941","1","2048.8636798461357","810.7711405009569","2177.9232053213491","1","0","0","0","0","0","0"
"1737","2026-04-07","17:52:37.24","1775584357242000000","","200","-149.69020539937355","-769.90329573142299","0","41.132879466928784","813.37395266587009","0","3932.0928574326786","1","1642.8317371719459","814.41334753830131","1821.1035186722029","1","0","0","0","0","0","0"
"1738","2026-04-07","17:52:37.24","1775584357244000000","","200","-149.59073406565443","-768.27161060236176","0","49.735666859561434","815.84256453061244","0","4301.3936963163242","1","1234.3059323711714","817.35715978870076","1471.9061251997232","1","0","0","0","0","0","0"
