"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"0","0","1108","15417","338","-62.25"
"1","1","1033","15009","338","-67.6"
"2","2","948","14534","338","-71.05"
"3","3","862","14002","339","-81.4"
"4","4","776","13427","339","-81.95"
"5","5","686","12797","340","-89.15"
"6","6","592","12119","340","-92.8"
"7","7","500","11406","340","-96.25"
"8","8","411","10670","340","-93.45"
"9","9","322","9902","341","-96.6"
"10","10","237","9118","341","-97.2"
"11","11","161","8335","342","-94.85"
"12","12","102","7584","342","-89.4"
"13","13","69","6907","342","-72.7"
"14","14","55","6313","342","-56"
"15","15","50","5795","342","-39.5"
"16","16","50","5344","342","-27.65"
"17","17","50","4946","343","-17.45"
"18","18","50","4591","343","-11.75"
"19","19","51","4281","343","-0.85"
"20","20","49","4001","343","4.1"
"21","21","46","3742","343","8.65"
"22","22","40","3486","343","2.6"
"23","23","33","3225","343","-6.7"
"24","24","24","2955","343","-21.9"
"25","25","17","2694","343","-28.35"
"26","26","0","2426","343","-33.45"
"27","27","-13","2164","343","-39.35"
"28","28","-27","1913","343","-36.6"
"29","29","-43","1665","343","-39.65"
"30","30","-60","1428","343","-35.3"
"31","31","-76","1199","343","-33.7"
"32","32","-93","981","343","-27.15"
"33","33","-109","766","343","-26.1"
"34","34","-126","554","343","-23.45"
"35","35","-142","341","343","-24.9"
"36","36","-158","134","343","-21.1"
"37","37","-174","-75","343","-23.9"
"38","38","-190","-285","343","-23.4"
"39","39","-206","-493","343","-25.15"
"40","40","-219","-691","343","-22.1"
"41","41","-233","-888","343","-21.55"
"42","42","-251","-1087","343","-21.1"
"43","43","-266","-1284","343","-21.3"
"44","44","-276","-1464","343","-15.6"
"45","45","-294","-1655","342","-15.7"
"46","46","-306","-1843","342","-19.25"
"47","47","-315","-2019","342","-16"
"48","48","-328","-2200","342","-18.35"
"49","49","-340","-2378","342","-20.25"
"50","50","-352","-2558","342","-22.5"
"51","51","-366","-2743","342","-26.2"
"52","52","-376","-2924","342","-29.9"
"53","53","-382","-3089","342","-26.9"
"54","54","-394","-3259","342","-28.9"
"55","55","-403","-3420","342","-31.7"
"56","56","-410","-3568","342","-25.5"
"57","57","-417","-3714","342","-29.25"
"58","58","-423","-3848","342","-25.35"
"59","59","-430","-3975","342","-26.25"
"60","60","-431","-4083","342","-21.55"
"61","61","-439","-4194","342","-20.4"
"62","62","-443","-4298","342","-22.35"
"63","63","-442","-4383","341","-17.6"
"64","64","-444","-4466","341","-18"
"65","65","-449","-4549","341","-17.9"
"66","66","-450","-4618","341","-16.15"
"67","67","-447","-4666","341","-8.8"
"68","68","-449","-4718","341","-8.05"
"69","69","-447","-4761","341","-9.4"
"70","70","-446","-4790","341","-1.45"
"71","71","-443","-4810","341","-0.05"
"72","72","-439","-4821","341","5"
"73","73","-434","-4820","341","7.3"
"74","74","-425","-4802","341","14.55"
"75","75","-424","-4791","341","14.8"
"76","76","-416","-4780","341","8.6"
"77","77","-410","-4769","341","7.75"
"78","78","-401","-4752","341","4"
"79","79","-390","-4722","341","5.05"
"80","80","-380","-4687","341","5"
"81","81","-374","-4655","341","2.7"
"82","82","-363","-4610","341","2.6"
"83","83","-347","-4552","341","2.95"
"84","84","-340","-4500","341","0.7"
"85","85","-329","-4441","341","-3.45"
"86","86","-312","-4360","341","0.35"
"87","87","-302","-4278","341","3.75"
"88","88","-288","-4183","341","3.2"
"89","89","-274","-4074","341","9.95"
"90","90","-260","-3957","341","11.05"
"91","91","-245","-3839","341","10.95"
"92","92","-229","-3716","341","6.85"
"93","93","-214","-3588","341","10.45"
"94","94","-198","-3457","341","5.65"
"95","95","-181","-3317","341","9.95"
"96","96","-166","-3176","341","6.75"
"97","97","-143","-3016","341","10.6"
"98","98","-131","-2865","341","11"
"99","99","-114","-2708","341","7.7"
"100","100","-93","-2532","341","13.4"
"101","101","-76","-2355","341","15.15"
"102","102","-63","-2183","341","15.05"
"103","103","-45","-2006","341","14.05"
"104","104","-24","-1812","341","21.3"
"105","105","-8","-1622","341","21.15"
"106","106","4","-1445","341","18.4"
"107","107","18","-1268","341","16.1"
"108","108","35","-1083","341","21.1"
"109","109","42","-922","341","17.65"
"110","110","52","-767","341","12.25"
"111","111","64","-610","341","14.95"
"112","112","66","-480","341","10.9"
"113","113","69","-359","341","6.5"
"114","114","37","-322","341","3.25"
"115","115","0","-367","341","-31.15"
"116","116","0","-375","341","-25.85"
"117","117","0","-360","341","-10.75"
"118","118","0","-350","341","-11.65"
"119","119","-1","-347","341","-16.3"
"120","120","-2","-350","341","-20.6"
"121","121","-5","-358","341","-22.85"
"122","122","-9","-370","341","-24.55"
"123","123","-14","-387","341","-25.7"
"124","124","-20","-410","341","-27.85"
"125","125","-28","-434","341","-25.35"
"126","126","-36","-462","341","-24"
"127","127","-45","-498","341","-25"
"128","128","-56","-539","341","-22.85"
"129","129","-68","-588","341","-22.8"
"130","130","-80","-646","341","-22.95"
"131","131","-93","-713","341","-23.45"
"132","132","-108","-795","341","-25.45"
"133","133","-122","-885","340","-26.65"
"134","134","-138","-987","340","-28.65"
"135","135","-154","-1096","340","-29.3"
"136","136","-171","-1215","340","-29.6"
"137","137","-189","-1344","340","-30.9"
"138","138","-207","-1480","340","-31.4"
"139","139","-225","-1621","340","-30.65"
"140","140","-244","-1769","340","-30.4"
"141","141","-264","-1925","340","-30.7"
"142","142","-283","-2084","340","-28.95"
"143","143","-303","-2251","340","-28.65"
"144","144","-323","-2424","340","-29.1"
"145","145","-342","-2600","340","-27.6"
"146","146","-362","-2779","340","-25.55"
"147","147","-382","-2964","340","-26.05"
"148","148","-402","-3157","340","-27.55"
"149","149","-420","-3351","340","-27.05"
"150","150","-440","-3554","340","-29.85"
"151","151","-459","-3759","340","-31.7"
"152","152","-477","-3968","340","-33.35"
"153","153","-496","-4181","339","-34.75"
"154","154","-514","-4396","339","-38.1"
"155","155","-532","-4616","339","-41.4"
"156","156","-549","-4840","339","-46.25"
"157","157","-567","-5063","339","-47.65"
"158","158","-584","-5282","339","-47.8"
"159","159","-600","-5500","339","-50.15"
"160","160","-617","-5715","339","-51.95"
"161","161","-633","-5926","338","-50"
"162","162","-649","-6130","338","-49.6"
"163","163","-664","-6330","338","-48.55"
"164","164","-679","-6525","338","-47.25"
"165","165","-693","-6711","338","-44.25"
"166","166","-706","-6890","338","-41.9"
"167","167","-721","-7067","337","-39.7"
"168","168","-734","-7233","337","-35.85"
"169","169","-746","-7392","337","-30.9"
"170","170","-759","-7550","337","-29.65"
"171","171","-770","-7702","336","-27.8"
"172","172","-781","-7849","336","-23.65"
"173","173","-792","-7997","336","-24.8"
"174","174","-802","-8137","336","-21.5"
"175","175","-812","-8277","336","-20.75"
"176","176","-821","-8417","336","-22.2"
"177","177","-830","-8551","336","-19.8"
"178","178","-838","-8683","336","-19.8"
"179","179","-845","-8813","336","-21.55"
"180","180","-853","-8939","336","-19.65"
"181","181","-858","-9065","335","-23.95"
"182","182","-865","-9184","335","-22.85"
"183","183","-870","-9302","335","-24.6"
"184","184","-874","-9416","335","-26.6"
"185","185","-879","-9524","335","-25.7"
"186","186","-882","-9627","335","-27.3"
"187","187","-885","-9722","335","-26.75"
"188","188","-887","-9812","335","-27.4"
"189","189","-889","-9893","334","-26.85"
"190","190","-890","-9966","334","-24.95"
"191","191","-891","-10035","334","-27"
"192","192","-890","-10095","334","-25.9"
"193","193","-890","-10144","334","-22.85"
"194","194","-888","-10185","334","-22.2"
"195","195","-887","-10225","334","-22.75"
"196","196","-883","-10250","334","-20.55"
"197","197","-881","-10269","334","-18.4"
"198","198","-877","-10282","334","-18.3"
"199","199","-873","-10285","334","-14.3"
"200","200","-868","-10280","334","-13.2"
"201","201","-862","-10263","334","-9.7"
"202","202","-856","-10241","334","-7.35"
"203","203","-849","-10212","334","-6.3"
"204","204","-842","-10176","334","-4.6"
"205","205","-835","-10131","334","-0.05"
"206","206","-825","-10078","334","2.3"
"207","207","-817","-10020","335","3.75"
"208","208","-808","-9957","335","4.35"
"209","209","-798","-9890","335","5.05"
"210","210","-787","-9818","335","6.05"
"211","211","-776","-9734","335","10.1"
"212","212","-765","-9647","335","12.6"
"213","213","-752","-9560","335","8.6"
"214","214","-740","-9472","335","6.75"
"215","215","-727","-9383","335","4.15"
"216","216","-714","-9290","335","1.85"
"217","217","-700","-9188","336","4.05"
"218","218","-686","-9083","336","2.35"
"219","219","-672","-8977","336","-0.55"
"220","220","-657","-8865","336","-2.65"
"221","221","-641","-8747","337","-3.95"
"222","222","-626","-8625","337","-5.2"
"223","223","-609","-8495","337","-4.5"
"224","224","-593","-8352","337","-1.15"
"225","225","-576","-8201","337","1.4"
"226","226","-559","-8040","337","4.7"
"227","227","-542","-7872","337","7.2"
"228","228","-524","-7695","337","11.45"
"229","229","-507","-7514","337","12.55"
"230","230","-489","-7331","337","13.5"
"231","231","-470","-7144","338","13.9"
"232","232","-452","-6955","338","14.6"
"233","233","-434","-6765","338","14.25"
"234","234","-415","-6572","338","14.4"
"235","235","-396","-6373","338","16.3"
"236","236","-377","-6170","338","19.2"
"237","237","-359","-5968","338","18.7"
"238","238","-339","-5763","338","16.95"
"239","239","-320","-5557","338","18.65"
"240","240","-301","-5351","338","17.95"
"241","241","-282","-5144","338","17.9"
"242","242","-264","-4938","338","16.75"
"243","243","-244","-4729","338","16.1"
"244","244","-225","-4518","338","17.65"
"245","245","-206","-4308","338","17"
"246","246","-187","-4096","338","16.9"
"247","247","-168","-3884","338","16.4"
"248","248","-150","-3675","338","15.2"
"249","249","-132","-3463","339","15.6"
"250","250","-114","-3251","339","16.05"
"251","251","-96","-3039","339","15.6"
"252","252","-78","-2826","339","16.8"
"253","253","-60","-2611","339","18"
"254","254","-43","-2398","339","18.05"
"255","255","-26","-2186","339","17.75"
"256","256","-9","-1975","339","17.8"
"257","257","8","-1764","339","18.25"
"258","258","24","-1559","339","17.55"
"259","259","40","-1358","339","15.5"
"260","260","56","-1157","339","15.55"
"261","261","71","-961","339","14.7"
"262","262","85","-768","339","13.3"
"263","263","100","-575","339","14.1"
"264","264","114","-382","339","16.35"
"265","265","128","-190","339","17.2"
"266","266","141","0","339","17.75"
"267","267","154","184","339","17.4"
"268","268","166","365","339","17.5"
"269","269","179","544","339","18.25"
"270","270","190","719","339","19.55"
"271","271","201","889","339","19.6"
"272","272","212","1056","339","19.5"
"273","273","222","1215","339","18.35"
"274","274","232","1371","339","18.25"
"275","275","241","1522","339","18.15"
"276","276","250","1670","339","18.6"
"277","277","258","1813","339","19.35"
"278","278","266","1950","339","18.1"
"279","279","273","2082","339","19.2"
"280","280","280","2209","339","18.6"
"281","281","286","2328","339","18.3"
"282","282","292","2444","339","17.7"
"283","283","298","2553","339","16.75"
"284","284","302","2654","339","15.75"
"285","285","306","2751","339","15.9"
"286","286","311","2840","339","13.5"
"287","287","313","2924","339","13.3"
"288","288","317","3003","339","12.55"
"289","289","318","3075","339","12.25"
"290","290","321","3140","339","9.7"
"291","291","321","3199","339","8.35"
"292","292","322","3249","339","6.05"
"293","293","323","3296","339","5.25"
"294","294","322","3337","339","4.9"
"295","295","322","3375","338","4.45"
"296","296","321","3408","338","4.3"
"297","297","320","3437","339","3.95"
"298","298","318","3460","339","3.5"
"299","299","316","3479","339","3.05"
"300","300","312","3492","339","3.3"
"301","301","309","3501","339","2.7"
"302","302","306","3505","339","2.1"
"303","303","302","3506","339","2.95"
"304","304","297","3501","339","2.6"
"305","305","292","3492","339","2.85"
"306","306","287","3477","339","2.1"
"307","307","281","3457","339","2.05"
"308","308","276","3433","339","2.25"
"309","309","269","3405","339","1.95"
"310","310","263","3372","339","2.1"
"311","311","256","3331","339","0.25"
"312","312","249","3287","339","-0.35"
"313","313","241","3236","339","-1.2"
"314","314","233","3182","339","-1.5"
"315","315","226","3124","339","-1.8"
"316","316","217","3059","339","-3.95"
"317","317","209","2993","339","-4.2"
"318","318","200","2924","339","-2.6"
"319","319","191","2851","339","-3.05"
"320","320","183","2778","339","-3.15"
"321","321","176","2706","339","-2.55"
"322","322","171","2637","339","-2"
"323","323","168","2571","339","-2.25"
"324","324","167","2518","339","0.95"
"325","325","167","2475","339","5"
"326","326","169","2445","339","8.8"
"327","327","171","2423","339","10.85"
"328","328","176","2411","339","12.35"
"329","329","183","2407","339","12.25"
"330","330","190","2411","339","12.7"
"331","331","199","2429","339","13.5"
"332","332","209","2456","339","15.2"
"333","333","221","2497","339","17.15"
"334","334","232","2547","339","18.4"
"335","335","246","2613","339","21.8"
"336","336","259","2689","339","23.65"
"337","337","274","2766","339","19.3"
"338","338","289","2858","339","22.15"
"339","339","303","2956","339","22.9"
"340","340","320","3065","339","23.55"
"341","341","335","3185","339","26.65"
"342","342","352","3314","339","29.25"
"343","343","370","3445","339","26.1"
"344","344","387","3585","339","27.75"
"345","345","405","3734","338","29.5"
"346","346","423","3882","338","26.1"
"347","347","442","4041","339","26.4"
"348","348","461","4203","339","26.85"
"349","349","480","4371","338","27.15"
"350","350","499","4543","338","26.4"
"351","351","517","4716","338","23.7"
"352","352","536","4893","338","23.45"
"353","353","554","5075","338","24.55"
"354","354","571","5258","338","25.65"
"355","355","589","5443","338","23.4"
"356","356","606","5629","338","22.75"
"357","357","623","5818","338","25"
"358","358","639","6010","338","26.95"
"359","359","655","6198","338","25.6"
"360","360","671","6387","338","25.6"
"361","361","685","6573","338","25.1"
"362","362","700","6759","338","25.35"
"363","363","714","6939","338","23.2"
"364","364","728","7119","338","23.4"
"365","365","742","7296","337","23.8"
"366","366","755","7467","337","20.85"
"367","367","767","7635","338","21.2"
