"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"147","147","-2552","-29918","330","-20.55"
"148","148","-2544","-29942","331","-19.75"
"149","149","-2534","-29952","331","-17.65"
"150","150","-2522","-29943","331","-15.45"
"151","151","-2510","-29912","331","-5.35"
"152","152","-2497","-29873","331","-5.95"
"153","153","-2482","-29818","331","-4.45"
"154","154","-2466","-29746","330","-0.15"
"155","155","-2450","-29668","330","0.65"
"156","156","-2431","-29572","332","0.75"
"157","157","-2411","-29452","332","10.75"
"158","158","-2391","-29329","333","9.8"
"159","159","-2370","-29199","333","6.85"
"160","160","-2348","-29061","333","5.45"
"161","161","-2324","-28901","333","9.65"
"162","162","-2300","-28733","334","11.5"
"163","163","-2274","-28552","334","9.15"
"164","164","-2248","-28353","334","16.05"
"165","165","-2221","-28145","334","15.25"
"166","166","-2193","-27925","334","17.05"
"167","167","-2164","-27695","334","17.3"
"168","168","-2134","-27456","335","16.9"
"169","169","-2103","-27205","335","15.95"
"170","170","-2073","-26941","335","20.6"
"171","171","-2040","-26666","335","20.85"
"172","172","-2007","-26382","335","19.9"
"173","173","-1974","-26087","335","21.6"
"174","174","-1940","-25783","336","22.1"
"175","175","-1906","-25467","336","22.75"
"176","176","-1871","-25135","336","28.5"
"177","177","-1836","-24802","336","25.6"
"178","178","-1800","-24457","336","26.3"
"179","179","-1764","-24102","336","29.75"
"180","180","-1727","-23742","337","29.2"
"181","181","-1690","-23375","337","29.25"
"182","182","-1653","-22998","337","31.1"
"183","183","-1615","-22608","337","36.85"
"184","184","-1578","-22221","338","33.35"
"185","185","-1540","-21825","338","34.7"
"186","186","-1502","-21421","338","37.35"
"187","187","-1464","-21016","338","37.15"
"188","188","-1426","-20606","339","36.85"
"189","189","-1388","-20187","339","41.8"
"190","190","-1349","-19769","339","39.65"
"191","191","-1311","-19349","339","39.8"
"192","192","-1274","-18927","340","40.4"
"193","193","-1236","-18505","340","39.4"
"194","194","-1199","-18080","340","39.6"
"195","195","-1161","-17651","340","42.45"
"196","196","-1125","-17227","341","39.55"
"197","197","-1087","-16801","341","39.35"
"198","198","-1052","-16375","341","40.65"
"199","199","-1015","-15951","341","38.95"
"200","200","-979","-15529","342","38.1"
"201","201","-944","-15108","342","38.15"
"202","202","-910","-14689","342","37.25"
"203","203","-875","-14271","342","36.85"
"204","204","-841","-13857","342","35.75"
"205","205","-808","-13445","342","35.5"
"206","206","-774","-13031","343","37.75"
"207","207","-743","-12627","343","34.2"
"208","208","-712","-12222","343","35.95"
"209","209","-681","-11823","343","34.9"
"210","210","-651","-11426","343","34.95"
"211","211","-619","-11030","343","36.3"
"212","212","-591","-10645","344","34.8"
"213","213","-563","-10265","344","32.9"
"214","214","-533","-9881","344","37.25"
"215","215","-508","-9510","344","35.7"
"216","216","-482","-9143","344","35.05"
"217","217","-454","-8777","344","37.1"
"218","218","-431","-8427","344","34.2"
"219","219","-407","-8083","344","32.35"
"220","220","-381","-7740","344","33.45"
"221","221","-361","-7416","344","29.4"
"222","222","-339","-7094","345","28.95"
"223","223","-315","-6774","345","31.75"
"224","224","-296","-6473","345","26.25"
"225","225","-277","-6177","345","23.65"
"226","226","-254","-5876","345","28.35"
"227","227","-239","-5592","345","27.25"
"228","228","-222","-5318","345","23.2"
"229","229","-201","-5042","345","25.75"
"230","230","-187","-4785","345","22.7"
"231","231","-167","-4523","345","20.9"
"232","232","-128","-4213","345","31.4"
"233","233","-49","-3792","345","50.15"
"234","234","66","-3226","345","78.05"
"235","235","205","-2517","345","101.65"
"236","236","365","-1656","345","123.85"
"237","237","535","-645","345","154.8"
"238","238","703","480","345","175.65"
"239","239","868","1697","345","194.95"
"240","240","1029","2986","344","208.9"
"241","241","1183","4315","344","215.45"
"242","242","1331","5672","344","213.4"
"243","243","1472","7048","344","218.75"
"244","244","1597","8400","342","208.9"
"245","245","1714","9734","342","199.85"
"246","246","1821","11033","339","190.75"
"247","247","1915","12291","339","179.65"
"248","248","1999","13507","337","175.15"
"249","249","2063","14640","337","159.65"
"250","250","2117","15703","334","143.65"
"251","251","2156","16691","334","138.65"
"252","252","2183","17584","331","120.75"
"253","253","2195","18385","331","110.4"
"254","254","2194","19072","328","88.6"
"255","255","2182","19660","328","73.75"
"256","256","2155","20130","330","54.25"
"257","257","2110","20467","330","30.2"
"258","258","2057","20677","331","-0.05"
"259","259","1996","20773","331","-20.6"
"260","260","1918","20738","331","-46.7"
"261","261","1832","20599","331","-65.05"
"262","262","1742","20361","330","-77.3"
"263","263","1634","20011","330","-93.6"
"264","264","1523","19572","331","-101.35"
"265","265","1405","19029","331","-114.15"
"266","266","1282","18394","333","-127.65"
"267","267","1153","17673","333","-135.6"
"268","268","1020","16869","335","-146.8"
"269","269","885","15992","335","-152.2"
"270","270","747","15041","337","-162.85"
"271","271","613","14036","337","-169.15"
"272","272","472","12969","338","-174.15"
"273","273","343","11875","338","-178.6"
"274","274","232","10792","340","-170.4"
"275","275","147","9760","340","-158.95"
"276","276","97","8834","341","-133.6"
"277","277","71","8027","341","-103.4"
"278","278","69","7352","342","-73.15"
"279","279","72","6784","342","-44.15"
"280","280","68","6272","342","-32.45"
"281","281","69","5827","342","-21.35"
"282","282","71","5451","343","0.05"
"283","283","61","5110","343","16.5"
"284","284","52","4791","343","21.45"
"285","285","40","4476","343","22.55"
"286","286","24","4161","343","17.95"
"287","287","5","3838","343","15.55"
"288","288","-16","3503","343","4.7"
"289","289","-35","3170","343","1.3"
"290","290","-65","2816","343","-4.1"
"291","291","-92","2450","343","-15.3"
"292","292","-115","2089","343","-17.75"
"293","293","-148","1720","343","-18.25"
"294","294","-176","1361","343","-15.8"
"295","295","-199","1011","343","-13.3"
"296","296","-232","638","343","-20.2"
"297","297","-261","259","343","-30.35"
"298","298","-284","-107","343","-29.25"
"299","299","-316","-493","343","-36.8"
"300","300","-348","-892","343","-49"
