"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"0","0","-470","-9085","332","42.8"
"1","1","-432","-8679","332","43.4"
"2","2","-394","-8268","332","44.4"
"3","3","-357","-7856","333","44.6"
"4","4","-319","-7446","333","42.1"
"5","5","-283","-7030","333","43.85"
"6","6","-249","-6618","333","44.35"
"7","7","-216","-6213","333","40.8"
"8","8","-183","-5813","333","39.7"
"9","9","-154","-5417","333","39.75"
"10","10","-126","-5031","333","39.5"
"11","11","-101","-4657","333","36.65"
"12","12","-78","-4298","333","34.1"
"13","13","-58","-3956","333","30.45"
"14","14","-40","-3632","333","27.65"
"15","15","-26","-3328","333","24.2"
"16","16","-15","-3044","333","21.75"
"17","17","-7","-2784","333","16.85"
"18","18","-2","-2548","333","13.95"
"19","19","0","-2338","333","9.25"
"20","20","0","-2154","333","4.4"
"21","21","0","-1992","333","-0.75"
"22","22","0","-1848","333","-5.15"
"23","23","0","-1720","333","-8.7"
"24","24","1","-1602","333","-11.25"
"25","25","3","-1490","333","-11.7"
"26","26","5","-1379","333","-8.6"
"27","27","8","-1269","333","-7.55"
"28","28","12","-1159","333","-4.85"
"29","29","18","-1046","333","-2.65"
"30","30","24","-930","333","1.35"
"31","31","31","-810","334","5.25"
"32","32","40","-686","334","8.35"
"33","33","48","-559","333","11.65"
"34","34","57","-431","333","13.6"
"35","35","68","-299","333","15.9"
"36","36","80","-162","333","19.25"
"37","37","91","-24","333","21"
"38","38","104","123","333","25.55"
"39","39","118","274","333","28.8"
"40","40","132","429","333","30.95"
"41","41","146","590","333","34.55"
"42","42","161","754","333","37.2"
"43","43","177","920","333","38.35"
"44","44","192","1089","333","40.1"
"45","45","209","1262","333","41.45"
"46","46","227","1438","333","42.95"
"47","47","244","1613","333","41.8"
"48","48","262","1795","333","44.2"
"49","49","280","1981","333","46.5"
"50","50","298","2168","333","47.25"
"51","51","318","2360","333","47.65"
"52","52","336","2554","333","48.3"
"53","53","356","2751","333","48.55"
"54","54","377","2952","333","47.85"
"55","55","397","3152","332","46.4"
"56","56","418","3353","332","44.9"
"57","57","440","3559","332","43.25"
"58","58","463","3773","332","44.75"
"59","59","486","3989","332","43.2"
"60","60","509","4208","332","41.55"
"61","61","533","4434","332","41.3"
"62","62","557","4664","332","41.8"
"63","63","582","4906","331","43.6"
"64","64","608","5157","331","45.5"
"65","65","635","5412","331","44.95"
"66","66","661","5675","331","45.75"
"67","67","689","5949","331","48.25"
"68","68","716","6232","331","52.3"
"69","69","746","6517","330","50.35"
"70","70","774","6812","330","53.25"
"71","71","804","7117","330","56.95"
"72","72","835","7427","330","56.35"
"73","73","867","7744","330","57.6"
"74","74","898","8068","330","60.25"
"75","75","931","8396","329","58.65"
"76","76","963","8735","329","62.25"
"77","77","997","9078","329","62.85"
"78","78","1030","9424","329","59.85"
"79","79","1066","9782","328","63.7"
"80","80","1100","10141","328","63.55"
"81","81","1136","10506","328","62.45"
"82","82","1173","10878","328","63.15"
"83","83","1209","11258","327","65.2"
"84","84","1246","11640","327","62.6"
"85","85","1284","12032","326","64.4"
"86","86","1321","12424","326","62.45"
"87","87","1361","12823","326","61.6"
"88","88","1399","13230","326","63.8"
"89","89","1438","13638","326","61.5"
"90","90","1477","14053","326","61.3"
"91","91","1517","14474","325","61.55"
"92","92","1556","14901","325","62.75"
"93","93","1596","15329","324","61.85"
"94","94","1636","15761","324","59.75"
"95","95","1676","16201","323","62.45"
"96","96","1717","16646","323","63.2"
"97","97","1756","17093","325","63.05"
"98","98","1795","17546","325","64.75"
"99","99","1836","17998","325","64"
"100","100","1876","18451","325","62.2"
"101","101","1914","18907","325","64.45"
"102","102","1954","19364","325","63.65"
"103","103","1993","19823","324","64.9"
"104","104","2030","20281","324","65.9"
"105","105","2068","20732","323","62.85"
"106","106","2107","21184","323","60.5"
"107","107","2143","21637","324","63.65"
"108","108","2179","22086","324","62"
"109","109","2214","22529","324","60.4"
"110","110","2250","22969","324","58.95"
"111","111","2283","23402","323","58.3"
"112","112","2316","23822","323","51.25"
"113","113","2349","24243","322","52.2"
"114","114","2380","24657","322","51.4"
"115","115","2410","25060","321","46.6"
"116","116","2439","25465","321","49.25"
"117","117","2467","25856","323","46.95"
"118","118","2494","26235","323","41.3"
"119","119","2520","26614","324","43.9"
"120","120","2544","26981","324","43.05"
"121","121","2567","27334","323","37.65"
"122","122","2589","27685","323","39.5"
"123","123","2608","28019","322","38.85"
"124","124","2628","28338","322","32.4"
"125","125","2645","28647","321","32.25"
"126","126","2662","28946","321","31"
"127","127","2675","29232","323","31.5"
"128","128","2689","29507","323","29.95"
"129","129","2700","29764","325","27.75"
"130","130","2709","29999","325","21.05"
"131","131","2718","30226","324","22.25"
"132","132","2725","30436","324","19.55"
"133","133","2729","30626","324","15.6"
"134","134","2733","30801","324","12.8"
"135","135","2735","30958","323","10.25"
"136","136","2734","31089","323","1.8"
"137","137","2733","31206","324","-1.35"
"138","138","2730","31308","324","-3.2"
"139","139","2724","31393","324","-4.75"
"140","140","2718","31468","324","-3.75"
"141","141","2710","31523","324","-6.15"
"142","142","2700","31555","324","-13.25"
"143","143","2687","31568","324","-15.15"
"144","144","2675","31562","324","-20.1"
"145","145","2660","31542","324","-21.1"
"146","146","2643","31511","324","-19.9"
"147","147","2626","31463","325","-19.55"
"148","148","2606","31388","325","-26.45"
"149","149","2585","31299","326","-28.65"
"150","150","2562","31195","326","-28.3"
"151","151","2538","31077","326","-26.35"
"152","152","2512","30941","326","-28.55"
"153","153","2485","30780","327","-33.45"
"154","154","2457","30599","327","-38.6"
"155","155","2428","30409","328","-36"
"156","156","2395","30197","328","-38"
"157","157","2363","29965","328","-42.9"
"158","158","2330","29720","328","-43.6"
"159","159","2296","29459","329","-43.3"
"160","160","2258","29169","329","-52.55"
"161","161","2221","28872","330","-50.7"
"162","162","2182","28556","330","-53.35"
"163","163","2142","28224","331","-55.65"
"164","164","2101","27880","331","-55.85"
"165","165","2060","27518","332","-58.85"
"166","166","2018","27136","332","-65.7"
"167","167","1973","26747","334","-62.55"
"168","168","1928","26341","334","-65.8"
"169","169","1884","25926","335","-66.7"
"170","170","1836","25494","335","-68.25"
"171","171","1789","25047","336","-71.4"
"172","172","1744","24598","336","-72.85"
"173","173","1710","24167","338","-68.5"
"174","174","1701","23796","338","-60.65"
"175","175","1715","23516","339","-41.1"
"176","176","1745","23322","339","-26.35"
"177","177","1784","23211","340","-13.9"
"178","178","1828","23175","340","-2.65"
"179","179","1872","23216","341","15.45"
"180","180","1910","23303","341","27.2"
"181","181","1948","23421","342","30.9"
"182","182","1981","23564","342","36"
"183","183","2007","23690","342","24.2"
"184","184","2029","23808","342","10.3"
"185","185","2045","23926","341","10.3"
"186","186","2055","24020","341","-1.95"
"187","187","2057","24082","341","-15.6"
"188","188","2053","24113","341","-28.85"
"189","189","2041","24109","341","-39.45"
"190","190","2022","24074","341","-47.4"
"191","191","1996","24016","341","-45.8"
"192","192","1961","23905","341","-54.2"
"193","193","1919","23749","341","-62.3"
"194","194","1872","23544","341","-67"
"195","195","1815","23290","342","-73.65"
"196","196","1753","22991","342","-71.9"
"197","197","1686","22624","343","-86.2"
"198","198","1611","22208","343","-86.9"
"199","199","1532","21734","344","-93.45"
"200","200","1449","21212","344","-95.85"
"201","201","1360","20633","345","-99.9"
"202","202","1268","19995","345","-108.6"
"203","203","1173","19309","346","-112.95"
"204","204","1075","18579","346","-114.3"
"205","205","977","17801","348","-118.9"
"206","206","877","16979","348","-126.2"
"207","207","777","16132","349","-125"
"208","208","675","15251","349","-124.85"
"209","209","576","14340","350","-130"
"210","210","478","13415","350","-127.6"
"211","211","384","12479","352","-125.25"
"212","212","294","11542","352","-120.7"
"213","213","208","10605","352","-118.15"
"214","214","135","9692","352","-112.75"
"215","215","80","8829","353","-102.95"
"216","216","42","8037","353","-87.1"
"217","217","28","7341","354","-70.2"
"218","218","26","6742","354","-47.05"
"219","219","26","6210","354","-36.7"
"220","220","27","5739","354","-25"
"221","221","27","5321","354","-15.9"
"222","222","25","4951","354","-4.15"
"223","223","22","4618","354","5.2"
"224","224","18","4311","354","13.05"
"225","225","10","4006","354","9.15"
"226","226","-1","3691","354","-2.65"
"227","227","-12","3368","354","-16.6"
"228","228","-25","3040","354","-28.95"
"229","229","-39","2726","354","-31.45"
"230","230","-54","2420","354","-32.2"
"231","231","-72","2112","354","-35.9"
"232","232","-89","1812","354","-38.5"
"233","233","-105","1530","354","-34.35"
"234","234","-124","1250","354","-32.7"
"235","235","-142","975","354","-34.65"
"236","236","-159","709","354","-31.8"
"237","237","-175","445","354","-34.7"
"238","238","-193","188","354","-31.45"
"239","239","-210","-66","354","-32.7"
"240","240","-225","-312","354","-31.65"
"241","241","-242","-553","354","-31.55"
"242","242","-259","-793","354","-31.05"
"243","243","-275","-1026","354","-30.15"
"244","244","-291","-1252","354","-26.2"
"245","245","-306","-1472","354","-25.6"
"246","246","-319","-1681","354","-21"
"247","247","-336","-1893","354","-21.7"
"248","248","-349","-2099","354","-20.95"
"249","249","-361","-2295","354","-18.15"
"250","250","-377","-2496","354","-19.25"
"251","251","-389","-2694","354","-21.9"
"252","252","-399","-2885","354","-21.65"
"253","253","-413","-3083","353","-24.7"
"254","254","-423","-3274","353","-28.45"
"255","255","-432","-3455","353","-26.65"
"256","256","-443","-3635","353","-27.35"
"257","257","-452","-3807","353","-28.9"
"258","258","-460","-3976","353","-28.4"
"259","259","-468","-4137","353","-30.8"
"260","260","-472","-4280","353","-26.05"
"261","261","-481","-4422","353","-25.05"
"262","262","-486","-4551","353","-24.75"
"263","263","-491","-4670","353","-20.8"
"264","264","-494","-4783","353","-21.2"
"265","265","-496","-4880","352","-17.2"
"266","266","-500","-4970","352","-13.3"
"267","267","-503","-5059","352","-16.95"
"268","268","-501","-5132","352","-14.4"
"269","269","-503","-5201","352","-11.85"
"270","270","-502","-5261","352","-12.1"
"271","271","-501","-5312","352","-7.85"
"272","272","-499","-5358","352","-9.25"
"273","273","-495","-5390","352","-6.05"
"274","274","-491","-5414","352","-4.8"
"275","275","-487","-5426","352","0.15"
"276","276","-482","-5431","352","0.35"
"277","277","-476","-5429","352","3.1"
"278","278","-471","-5422","352","3"
"279","279","-461","-5402","352","4.85"
"280","280","-452","-5373","352","7.25"
"281","281","-444","-5336","352","8.7"
"282","282","-434","-5291","352","10.6"
"283","283","-424","-5245","352","7.2"
"284","284","-413","-5192","352","7.1"
"285","285","-401","-5128","352","10.5"
"286","286","-386","-5057","352","8.35"
"287","287","-375","-4987","352","5.3"
"288","288","-362","-4911","352","2.45"
"289","289","-346","-4818","352","6.35"
"290","290","-334","-4722","352","7.95"
"291","291","-319","-4617","352","6.3"
"292","292","-301","-4498","352","9.25"
"293","293","-285","-4375","352","10.2"
"294","294","-271","-4248","352","10.8"
"295","295","-255","-4115","352","10.15"
"296","296","-235","-3966","352","13.5"
"297","297","-218","-3812","352","15"
"298","298","-203","-3663","352","13.4"
"299","299","-185","-3506","352","11.05"
"300","300","-165","-3336","352","15.2"
"301","301","-150","-3170","352","14.65"
"302","302","-132","-3000","352","12.7"
"303","303","-111","-2816","352","16.9"
"304","304","-95","-2638","352","17.15"
"305","305","-77","-2456","352","14"
"306","306","-56","-2262","352","18.1"
"307","307","-41","-2075","352","18.05"
"308","308","-25","-1889","352","15.05"
"309","309","-7","-1696","352","19.25"
"310","310","5","-1516","352","17.35"
"311","311","17","-1342","352","14.4"
"312","312","27","-1177","352","15.1"
"313","313","35","-1021","352","11.3"
"314","314","41","-878","352","10.6"
"315","315","45","-750","352","5.8"
"316","316","24","-684","352","1.2"
"317","317","0","-681","352","-23.95"
"318","318","0","-659","352","-23.85"
"319","319","0","-625","352","-15"
"320","320","0","-596","352","-15.95"
"321","321","-2","-577","352","-20.1"
"322","322","-6","-573","352","-26.05"
"323","323","-13","-580","352","-29.9"
"324","324","-23","-600","352","-31.85"
"325","325","-36","-637","352","-36.25"
"326","326","-52","-684","352","-35.05"
"327","327","-71","-746","352","-34.25"
"328","328","-92","-834","352","-39.35"
"329","329","-115","-931","352","-36.5"
"330","330","-142","-1050","352","-36.35"
"331","331","-170","-1198","351","-42.75"
"332","332","-201","-1367","351","-44"
"333","333","-234","-1559","351","-46.35"
"334","334","-269","-1779","351","-50.9"
"335","335","-306","-2025","351","-55.7"
"336","336","-344","-2292","351","-59.35"
"337","337","-384","-2585","351","-64.25"
"338","338","-427","-2900","351","-67.4"
"339","339","-469","-3235","351","-71.55"
"340","340","-513","-3591","351","-73.7"
"341","341","-557","-3967","350","-79.65"
"342","342","-603","-4362","350","-83.3"
"343","343","-650","-4774","350","-87.55"
"344","344","-696","-5194","350","-88.05"
"345","345","-743","-5626","350","-87.75"
"346","346","-789","-6071","350","-91.65"
"347","347","-837","-6524","349","-92.8"
"348","348","-884","-6981","349","-90.05"
"349","349","-930","-7449","348","-92.55"
"350","350","-976","-7920","348","-93.55"
"351","351","-1023","-8393","348","-90.25"
"352","352","-1068","-8877","348","-94.1"
"353","353","-1114","-9362","347","-93.8"
"354","354","-1160","-9853","347","-93"
"355","355","-1205","-10355","346","-99.5"
"356","356","-1250","-10857","346","-100"
"357","357","-1294","-11358","345","-99.8"
"358","358","-1338","-11864","345","-101.65"
"359","359","-1382","-12369","343","-103.45"
"360","360","-1426","-12874","343","-102.35"
"361","361","-1468","-13376","342","-103.05"
"362","362","-1511","-13875","342","-101.85"
"363","363","-1553","-14372","341","-100.05"
"364","364","-1594","-14864","341","-99.55"
"365","365","-1635","-15351","339","-97.35"
"366","366","-1675","-15829","339","-92.3"
"367","367","-1716","-16309","337","-92.6"
"368","368","-1754","-16779","337","-88.4"
"369","369","-1792","-17246","336","-86.4"
"370","370","-1830","-17711","336","-85.95"
"371","371","-1867","-18171","334","-84.45"
"372","372","-1904","-18621","334","-78.4"
"373","373","-1939","-19073","332","-80.5"
"374","374","-1974","-19522","332","-80.7"
"375","375","-2007","-19964","330","-78.9"
"376","376","-2041","-20406","330","-80.75"
"377","377","-2072","-20837","329","-78.8"
"378","378","-2104","-21261","329","-74.75"
