"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"0","0","-524","-7515","331","14.75"
"1","1","-523","-7396","331","0.95"
"2","2","-490","-7226","331","3.05"
"3","3","-471","-7048","331","19.25"
"4","4","-453","-6873","331","7.85"
"5","5","-435","-6687","331","20.35"
"6","6","-433","-6544","331","4.8"
"7","7","-399","-6345","331","9.95"
"8","8","-381","-6138","331","28.95"
"9","9","-380","-5985","331","8.7"
"10","10","-347","-5781","331","12.95"
"11","11","-331","-5577","331","28.5"
"12","12","-334","-5433","331","6.85"
"13","13","-305","-5243","331","9"
"14","14","-295","-5060","331","24.6"
"15","15","-286","-4907","331","2.9"
"16","16","-281","-4762","331","10.4"
"17","17","-293","-4667","331","-3.05"
"18","18","-145","-4262","331","17"
"19","19","0","-3637","331","127"
"20","20","0","-3278","331","43.75"
"21","21","0","-2979","331","7.5"
"22","22","0","-2668","331","33.6"
"23","23","-2","-2391","331","39.15"
"24","24","-4","-2155","331","32.2"
"25","25","-10","-1948","331","33.1"
"26","26","-18","-1778","331","29.75"
"27","27","-28","-1647","331","22.75"
"28","28","-40","-1547","331","19.15"
"29","29","-54","-1483","331","13.7"
"30","30","-69","-1452","331","6.85"
"31","31","-88","-1457","331","-0.95"
"32","32","-108","-1500","331","-11.95"
"33","33","-129","-1581","331","-26.65"
"34","34","-153","-1693","331","-38.2"
"35","35","-178","-1820","331","-39.45"
"36","36","-205","-1969","331","-44.9"
"37","37","-232","-2136","331","-48.6"
"38","38","-262","-2335","331","-60.15"
"39","39","-292","-2534","331","-55.8"
"40","40","-325","-2752","331","-57.75"
"41","41","-358","-2996","331","-67.55"
"42","42","-391","-3254","331","-71.35"
"43","43","-425","-3526","331","-74.65"
"44","44","-460","-3812","330","-77.45"
"45","45","-496","-4105","330","-77.9"
"46","46","-531","-4407","330","-78.35"
"47","47","-567","-4717","330","-78"
"48","48","-604","-5035","330","-79.1"
"49","49","-639","-5361","330","-79.85"
"50","50","-675","-5692","329","-78.85"
"51","51","-710","-6024","329","-77.65"
"52","52","-746","-6362","329","-76.45"
"53","53","-781","-6706","329","-77.2"
"54","54","-816","-7047","328","-73"
"55","55","-851","-7388","328","-69.5"
"56","56","-885","-7731","328","-67.55"
"57","57","-920","-8069","328","-60.35"
"58","58","-953","-8413","327","-59.5"
"59","59","-987","-8761","327","-58.8"
"60","60","-1020","-9108","326","-54.5"
"61","61","-1052","-9459","326","-56"
"62","62","-1085","-9813","326","-54.15"
"63","63","-1117","-10167","326","-52.4"
"64","64","-1149","-10525","326","-52.6"
"65","65","-1181","-10885","326","-53.65"
"66","66","-1211","-11246","326","-53.5"
"67","67","-1241","-11612","326","-56.85"
"68","68","-1271","-11980","325","-59.45"
"69","69","-1300","-12352","325","-63.75"
"70","70","-1329","-12721","325","-64.4"
"71","71","-1356","-13095","325","-69.85"
"72","72","-1385","-13466","324","-72.5"
"73","73","-1411","-13832","324","-74.3"
"74","74","-1438","-14197","324","-76.55"
"75","75","-1463","-14555","324","-78.95"
"76","76","-1488","-14899","324","-74.8"
"77","77","-1512","-15242","324","-76.55"
"78","78","-1535","-15575","323","-76.65"
