"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"0","0","1073","10918","336","26.95"
"1","1","1085","11115","336","24.8"
"2","2","1096","11310","336","26.55"
"3","3","1106","11495","335","25.6"
"4","4","1117","11672","335","23.65"
"5","5","1127","11845","335","24.45"
"6","6","1136","12009","335","22.2"
"7","7","1144","12165","335","21.75"
"8","8","1151","12312","335","18.4"
"9","9","1159","12457","334","19.9"
"10","10","1165","12591","334","17.6"
"11","11","1171","12718","334","16.15"
"12","12","1176","12838","334","14.3"
"13","13","1181","12954","334","15.15"
"14","14","1185","13059","334","11.15"
"15","15","1189","13159","335","12.15"
"16","16","1192","13253","335","10.1"
"17","17","1194","13340","335","9.7"
"18","18","1197","13422","335","9"
"19","19","1197","13495","335","8.8"
"20","20","1198","13560","335","5.1"
"21","21","1198","13621","335","4.75"
"22","22","1198","13674","335","3.9"
"23","23","1197","13723","335","4.4"
"24","24","1196","13766","335","3.8"
"25","25","1193","13803","336","4.3"
"26","26","1191","13834","336","4.1"
"27","27","1188","13856","336","1.6"
"28","28","1184","13869","336","-0.55"
"29","29","1179","13875","336","-1.65"
"30","30","1175","13876","336","-2"
"31","31","1169","13871","336","-2.7"
"32","32","1164","13857","336","-4.95"
"33","33","1158","13833","336","-8.65"
"34","34","1151","13804","336","-10.45"
"35","35","1143","13769","336","-10.65"
"36","36","1136","13732","336","-11.55"
"37","37","1128","13691","336","-9.6"
"38","38","1119","13648","336","-8.7"
"39","39","1110","13601","337","-7.6"
"40","40","1100","13547","337","-8.2"
"41","41","1091","13487","337","-9.6"
"42","42","1080","13426","337","-5.6"
"43","43","1069","13361","337","-4.05"
"44","44","1058","13291","337","-3.5"
"45","45","1046","13208","337","-4.5"
"46","46","1034","13118","337","-8.85"
"47","47","1021","13017","337","-10.55"
"48","48","1008","12912","337","-11.4"
"49","49","996","12800","337","-13.05"
"50","50","982","12681","337","-15.15"
"51","51","968","12558","337","-15.2"
"52","52","953","12428","337","-18.2"
"53","53","938","12292","337","-18.9"
"54","54","923","12155","337","-18.75"
"55","55","909","12012","337","-20"
"56","56","892","11864","337","-20.15"
"57","57","876","11715","337","-20.15"
"58","58","860","11564","337","-18.6"
"59","59","843","11408","338","-19.25"
"60","60","827","11248","338","-20.15"
"61","61","809","11083","338","-19.3"
"62","62","792","10917","338","-20.05"
"63","63","774","10746","338","-18.75"
"64","64","756","10568","338","-20.8"
"65","65","738","10386","338","-23.05"
"66","66","720","10200","338","-22.65"
"67","67","701","10007","338","-25.95"
"68","68","682","9812","338","-25.45"
"69","69","663","9611","338","-27.8"
"70","70","644","9411","338","-26.7"
"71","71","625","9205","338","-27.8"
"72","72","605","8994","338","-31"
"73","73","586","8788","339","-27.6"
"74","74","566","8578","339","-28"
"75","75","545","8365","339","-28.7"
"76","76","525","8153","339","-26.45"
"77","77","505","7939","339","-25.9"
"78","78","485","7721","339","-28.25"
"79","79","464","7506","339","-24.25"
"80","80","444","7287","339","-23.8"
"81","81","424","7063","339","-25.95"
"82","82","403","6838","339","-25.3"
"83","83","382","6612","339","-24.85"
"84","84","362","6383","339","-25.6"
"85","85","341","6150","339","-27.9"
"86","86","320","5913","339","-27.75"
"87","87","299","5676","340","-29"
"88","88","278","5438","340","-28.95"
"89","89","258","5196","340","-31.05"
"90","90","237","4953","340","-32.6"
"91","91","217","4709","340","-33"
"92","92","197","4466","340","-33.2"
"93","93","178","4229","340","-31.7"
"94","94","158","3991","340","-31.15"
"95","95","140","3756","340","-32.95"
"96","96","122","3525","340","-31.3"
"97","97","105","3300","340","-30.15"
"98","98","90","3082","340","-28.5"
"99","99","75","2869","340","-27.05"
"100","100","62","2665","340","-25"
"101","101","49","2468","340","-24.45"
"102","102","38","2279","340","-21.8"
"103","103","28","2100","340","-20.35"
"104","104","20","1931","340","-18.7"
"105","105","13","1770","340","-18.25"
"106","106","7","1624","340","-15.3"
"107","107","3","1489","340","-12.85"
"108","108","2","1367","340","-11.75"
"109","109","0","1256","340","-10.05"
"110","110","0","1159","340","-7.15"
"111","111","0","1074","340","-4.3"
"112","112","5","1006","340","-2.75"
"113","113","18","974","340","5.2"
"114","114","37","982","340","15.6"
"115","115","55","1014","340","23.05"
"116","116","73","1060","340","23.15"
"117","117","91","1115","340","20.45"
"118","118","109","1186","340","22.5"
"119","119","127","1270","340","24.1"
"120","120","145","1370","340","27.5"
"121","121","164","1478","340","28.8"
"122","122","181","1586","340","24.25"
"123","123","200","1709","340","27.4"
"124","124","218","1833","340","26.05"
"125","125","236","1961","340","23.1"
"126","126","254","2094","340","21.8"
"127","127","272","2233","340","20.75"
"128","128","290","2376","340","20.25"
"129","129","308","2524","340","19.3"
"130","130","326","2681","340","21.5"
"131","131","344","2844","339","22.2"
"132","132","362","3015","339","24.35"
"133","133","380","3191","339","26.85"
"134","134","398","3371","339","27.7"
"135","135","416","3553","339","28.2"
"136","136","434","3737","339","28"
"137","137","451","3926","339","29.6"
"138","138","470","4115","339","30.05"
"139","139","487","4301","339","27.9"
"140","140","506","4488","339","26.05"
"141","141","524","4674","339","24.65"
"142","142","540","4861","339","23.7"
"143","143","559","5053","339","25.65"
"144","144","577","5245","339","23.5"
"145","145","593","5433","338","22.9"
"146","146","594","5594","338","22.65"
"147","147","578","5696","338","10.2"
"148","148","560","5757","338","1.9"
"149","149","542","5789","338","-1.65"
"150","150","524","5792","338","-6.3"
"151","151","506","5764","338","-15.15"
"152","152","487","5709","338","-23.75"
"153","153","469","5644","338","-23.95"
"154","154","452","5566","338","-25.35"
"155","155","433","5472","338","-28.8"
"156","156","415","5367","338","-31.45"
"157","157","397","5265","338","-25.45"
"158","158","379","5151","338","-25.95"
"159","159","361","5027","338","-29.15"
"160","160","343","4905","338","-24.2"
"161","161","325","4779","338","-21.85"
"162","162","307","4646","338","-21.05"
"163","163","289","4507","338","-20.6"
"164","164","271","4364","338","-20.55"
"165","165","253","4215","338","-19.55"
"166","166","236","4061","338","-19.75"
"167","167","218","3899","338","-21.2"
"168","168","199","3729","338","-23.7"
"169","169","182","3555","338","-25.75"
"170","170","164","3376","338","-27.1"
"171","171","146","3191","338","-28.9"
"172","172","127","3003","338","-30"
"173","173","110","2819","338","-28.25"
"174","174","92","2630","338","-29.05"
"175","175","74","2443","338","-27.75"
"176","176","57","2254","338","-27.35"
"177","177","38","2063","338","-27.45"
"178","178","21","1872","338","-27.65"
"179","179","6","1686","338","-26.3"
"180","180","0","1522","338","-23.6"
"181","181","0","1385","338","-16.8"
"182","182","0","1262","338","-14.75"
"183","183","0","1151","338","-14.2"
"184","184","0","1055","338","-11.6"
"185","185","-3","963","338","-8.45"
"186","186","-13","864","338","-9.3"
"187","187","-27","753","339","-12.1"
"188","188","-40","638","339","-11.5"
"189","189","-53","518","339","-11.85"
"190","190","-67","388","339","-13.85"
"191","191","-80","250","339","-17.7"
"192","192","-93","106","339","-21.1"
"193","193","-107","-44","338","-23.9"
"194","194","-121","-198","338","-26.3"
"195","195","-133","-352","338","-28.3"
"196","196","-147","-507","338","-28.65"
"197","197","-161","-665","338","-30.1"
"198","198","-174","-820","338","-30.35"
"199","199","-187","-973","338","-28.4"
"200","200","-200","-1126","338","-28.15"
"201","201","-214","-1278","338","-28.35"
"202","202","-218","-1409","338","-26.25"
"203","203","-209","-1502","338","-18.25"
"204","204","-195","-1560","338","-11.95"
"205","205","-182","-1597","338","-10.85"
"206","206","-169","-1614","338","-8.7"
"207","207","-155","-1608","338","-4.85"
"208","208","-141","-1586","338","-1.95"
"209","209","-129","-1546","338","1.7"
"210","210","-115","-1491","338","6.55"
"211","211","-101","-1420","338","11.5"
"212","212","-88","-1340","338","14"
"213","213","-76","-1248","338","19.6"
"214","214","-61","-1161","338","15.1"
"215","215","-48","-1073","338","11.55"
"216","216","-35","-979","338","12.7"
"217","217","-21","-878","338","13.7"
"218","218","-9","-775","338","12.9"
"219","219","-1","-681","338","11.45"
"220","220","0","-607","338","6.15"
"221","221","-2","-552","338","-0.05"
"222","222","-5","-511","338","-2.7"
"223","223","-11","-489","338","-6.9"
"224","224","-20","-490","338","-13.95"
"225","225","-31","-511","338","-20.05"
"226","226","-44","-546","338","-22.3"
"227","227","-60","-598","338","-23.65"
"228","228","-77","-668","338","-26.1"
"229","229","-96","-754","338","-27.9"
"230","230","-117","-858","338","-30.05"
"231","231","-141","-988","338","-36.1"
"232","232","-165","-1130","338","-39.15"
"233","233","-191","-1287","338","-36.3"
"234","234","-218","-1469","338","-43.05"
"235","235","-246","-1666","338","-48.55"
"236","236","-274","-1873","338","-46.35"
"237","237","-304","-2095","337","-48.4"
"238","238","-334","-2328","337","-49.05"
"239","239","-363","-2568","337","-48.15"
"240","240","-393","-2818","337","-47.2"
"241","241","-423","-3079","337","-49.85"
"242","242","-453","-3347","337","-50.15"
"243","243","-484","-3626","337","-51.35"
"244","244","-513","-3905","337","-50.7"
"245","245","-543","-4194","337","-51.05"
"246","246","-573","-4491","337","-52.25"
"247","247","-603","-4794","336","-55.45"
"248","248","-632","-5100","336","-55.4"
"249","249","-662","-5407","336","-54.85"
"250","250","-692","-5716","336","-53.35"
"251","251","-720","-6029","336","-55.05"
"252","252","-749","-6342","336","-54.65"
"253","253","-778","-6651","335","-50.35"
"254","254","-807","-6965","335","-50.5"
"255","255","-835","-7279","336","-51.2"
"256","256","-862","-7587","336","-46.85"
"257","257","-891","-7902","336","-47.75"
"258","258","-918","-8216","336","-48.1"
"259","259","-945","-8528","335","-45.45"
"260","260","-971","-8845","335","-48.95"
"261","261","-998","-9162","335","-49.1"
"262","262","-1024","-9479","335","-49.4"
"263","263","-1049","-9796","334","-50.4"
"264","264","-1075","-10113","334","-51.5"
"265","265","-1100","-10431","335","-53.85"
"266","266","-1124","-10741","335","-51.75"
"267","267","-1148","-11050","335","-52.5"
"268","268","-1171","-11355","335","-52.9"
"269","269","-1195","-11655","334","-51.55"
"270","270","-1217","-11947","334","-47.85"
"271","271","-1239","-12237","334","-48.8"
"272","272","-1261","-12523","334","-48.2"
"273","273","-1282","-12803","333","-46.35"
"274","274","-1302","-13079","333","-45.7"
